Date,Time
2007-10-09,0.39722222
2007-10-10,2.03305555
2007-10-14,1.0625
2007-11-03,10.5011111
2007-11-04,0.12833333
2007-11-05,2.17333333
2007-11-08,0.05527777
2007-11-09,5.27111111
2007-11-17,8.79916666
2007-11-18,6.89138888
2007-11-19,2.07583333
2007-11-20,4.56722222
2007-11-24,4.91027777
2007-11-25,3.15777777
2007-11-27,0.00055555
2007-11-28,1.03944444
2007-11-29,4.07722222
2008-02-11,0.71777777
2008-02-22,0.65083333
2008-02-23,0.40111111
2008-02-24,2.94416666
2008-02-25,0.45722222
2008-03-02,5.90972222
2008-03-03,7.465
2008-03-04,2.28666666
2008-03-05,2.53305555
2008-03-06,3.34861111
2008-03-07,4.63805555
2008-03-10,5.68166666
2008-03-11,2.76166666
2008-03-12,6.28861111
2008-03-17,5.41861111
2008-03-20,2.08777777
2008-03-21,5.21694444
2008-03-26,2.86944444
2008-03-27,0.47361111
2008-03-28,0.19333333
2008-03-29,9.98194444
2008-11-02,0.93833333
2008-11-04,4.05694444
2008-11-08,0.82333333
2008-11-09,2.61305555
2008-11-10,4.38888888
2008-11-11,1.14583333
2008-11-17,3.74555555
2008-11-20,1.84694444
2008-11-21,1.59055555
2008-11-23,4.10277777
2008-11-29,3.35916666
2008-11-30,0.84166666
2008-12-02,7.02388888
2008-12-03,6.46666666
2008-12-06,9.34944444
2008-12-09,4.27694444
2008-12-12,2.575
2008-12-13,6.92527777
2008-12-28,1.94944444
2008-12-29,2.26111111
2009-01-01,4.19111111
2009-01-07,0.22833333
2009-01-16,0.49444444
2009-01-17,4.46472222
2009-01-18,1.52
2009-01-19,0.40583333
2009-01-24,2.26666666
2009-01-25,2.28361111
2009-01-28,0.11305555
2009-01-29,9.44
2009-01-30,4.68861111
2009-01-31,5.19305555
2009-02-01,6.80583333
2009-02-02,3.61638888
2009-02-04,2.04916666
2009-02-05,8.32083333
2009-02-06,1.89194444
2009-02-07,3.04611111
2009-02-10,3.35861111
2009-02-15,2.66333333
2009-02-16,0.05166666
2009-02-21,5.27388888
2009-02-24,4.43666666
2009-02-25,5.72861111
2009-03-05,3.17777777
2009-03-08,1.86333333
2009-03-09,0.28583333
2009-03-10,7.50333333
2009-03-12,3.425
2009-03-28,1.00027777
2009-03-30,0.33416666
2009-03-31,2.09972222
2009-05-03,0.06777777
2009-05-05,0.13638888
2009-05-08,0.63722222
2009-05-10,1.74805555
2009-05-19,2.23611111
2009-05-29,2.89888888
2010-03-19,0.39583333
2010-03-24,0.90111111
2010-03-25,1.74166666
2010-04-21,0.05527777
2010-04-22,2.80083333
2010-06-10,2.58972222
2010-10-02,5.71277777
2010-11-12,0.63111111
2010-11-13,5.05583333
2011-01-10,1.74972222
2011-01-14,1.97833333
2011-01-15,1.25611111
2011-01-27,0.07361111
2011-01-28,2.12583333
2011-01-30,2.41611111
2011-01-31,0.28777777
2011-02-11,2.28388888
2011-02-12,0.37305555
2011-02-16,3.76694444
2011-02-17,5.60666666
2011-04-14,0.00555555
2011-10-23,2.17527777
2012-02-13,0.19055555
2012-02-14,0.32111111
2012-02-18,1.43222222
2012-05-31,1.13055555
2012-09-11,3.51
2012-10-09,3.47777777
2012-10-11,17.3422222
2012-10-19,0.05166666
2012-11-09,2.63222222
2012-11-10,2.41527777
2012-11-11,1.41861111
2012-11-25,2.36333333
2012-11-26,1.73638888
2012-12-01,3.22527777
2012-12-02,0.33611111
2012-12-12,2.61166666
2013-12-01,1.42777777
2013-12-02,6.68305555
2013-12-03,0.77722222
2013-12-04,3.76833333
2013-12-12,6.0175
2013-12-27,2.04388888
2013-12-28,4.34416666
2014-01-04,3.64388888
