Date,Time
2009-10-23,0.15
2009-10-24,8.83833333
2009-10-27,5.32694444
2009-11-05,8.17805555
2009-11-13,4.38305555
2009-11-29,3.84055555
2009-11-30,9.12194444
2009-12-03,8.17055555
2009-12-11,2.15444444
2009-12-12,0.68388888
2009-12-13,10.8019444
2009-12-14,6.01027777
2009-12-23,1.75083333
2009-12-24,4.55333333
2009-12-28,0.70055555
2010-01-05,1.77361111
2010-01-06,3.92194444
2010-01-30,2.25416666
2010-02-07,2.71083333
2010-02-08,2.15027777
2010-02-19,2.55583333
2010-02-21,4.66833333
2010-02-22,9.37888888
2010-02-23,12.2672222
2010-02-24,1.58916666
2010-02-26,4.425
2010-02-27,7.20444444
2010-03-02,4.02583333
2010-03-08,0.65
2010-03-11,2.745
2010-03-30,5.54527777
2010-05-14,2.89972222
2010-05-15,2.92083333
2010-05-16,1.26
2010-05-17,5.63555555
2010-05-22,0.71416666
2010-05-29,2.34
2010-05-30,0.81944444
2010-05-31,2.49416666
2010-06-05,6.63277777
2010-06-06,2.20638888
2010-11-08,7.94333333
2010-11-29,0.76666666
2010-11-30,2.9375
2011-01-01,1.62722222
2011-01-02,8.58361111
2011-01-11,7.01277777
2011-04-03,2.10444444
2013-07-14,0.50472222
2013-08-11,5.05277777
2013-08-25,0.37666666
2013-09-08,1.0625
2013-11-11,4.72083333
2013-11-15,1.17083333
2013-12-04,0.53
