Date,Time
2005-11-10,4.925
2005-11-11,8.02944444
2005-11-12,5.97555555
2005-11-13,9.76972222
2006-03-01,3.94583333
2006-03-02,3.88444444
2006-03-05,3.49722222
2006-03-06,4.26638888
2006-05-29,7.81
2006-09-04,6.17416666
2006-09-09,5.3275
2006-11-09,1.69833333
2006-11-19,5.43166666
2006-11-20,3.8375
2006-11-21,6.94666666
2006-11-22,3.40416666
2007-01-11,4.4
2007-02-10,2.32027777
2007-02-11,1.12222222
2007-03-25,1.73083333
2007-04-10,1.50611111
2007-04-13,2.735
2007-04-18,3.28027777
2007-04-22,2.33361111
2007-04-26,1.36722222
2007-04-30,1.78027777
2007-09-25,0.95138888
2007-10-05,1.24666666
2007-10-13,2.03
2007-10-19,2.24222222
2007-10-22,1.29388888
2007-10-26,2.47027777
2007-11-12,2.12722222
2007-11-13,6.76555555
2007-11-16,8.30638888
2007-11-17,3.96472222
2007-11-23,1.64305555
2007-11-28,3.29277777
2007-12-18,3.37666666
2007-12-19,5.02638888
2007-12-22,4.735
2007-12-23,6.12
2007-12-24,6.98666666
2007-12-26,3.55611111
2007-12-29,2.18666666
2008-01-12,2.68388888
2008-01-18,0.25444444
2008-01-19,3.65138888
2008-01-26,3.72277777
2008-02-11,2.54555555
2008-02-16,2.83027777
2008-02-19,3.16694444
2008-02-24,4.91777777
2008-03-14,2.82222222
2008-03-16,4.93888888
2008-03-24,4.96388888
2008-04-02,4.16166666
2008-04-07,3.65583333
2008-04-29,4.70166666
2008-05-26,4.44138888
2008-10-23,4.70111111
2008-11-03,3.22
2008-11-08,4.58972222
2008-11-09,4.80611111
2008-12-10,1.87111111
2008-12-14,4.6125
2008-12-18,4.41944444
2008-12-21,4.01972222
2009-01-09,2.75611111
2009-01-13,2.19527777
2009-01-25,2.13
2009-02-02,0.18277777
2009-02-08,2.92944444
2009-02-09,4.87611111
2009-02-15,0.83805555
2009-02-16,2.32972222
2009-02-27,2.91361111
2009-03-03,4.72638888
2009-03-05,3.86888888
2009-03-14,6.07805555
2009-03-16,4.78583333
2009-03-17,1.16777777
2009-03-18,3.66333333
2009-04-16,2.32916666
2009-04-20,4.21166666
2009-04-21,2.53138888
2009-05-22,2.87194444
2009-05-23,5.18444444
2009-05-24,0.12472222
2009-05-28,4.58777777
2009-06-28,6.01472222
2009-07-31,4.74277777
2009-08-20,2.06194444
2009-08-21,0.86333333
2009-09-12,2.82222222
2009-09-13,2.17277777
2009-09-21,2.05388888
2009-09-22,1.3125
2010-01-29,2.31055555
2010-02-07,1.9825
2010-02-24,1.15666666
2010-02-25,1.48472222
2010-03-27,2.69277777
2010-03-31,2.33972222
2010-04-15,2.78388888
2010-04-18,3.97333333
2010-04-30,2.54166666
2010-05-04,2.86916666
2010-05-05,3.4625
2010-05-07,2.39583333
2010-05-10,3.90833333
2010-05-15,1.42194444
2010-06-07,3.22833333
2010-06-08,2.28861111
2010-07-02,2.80888888
2010-07-03,2.5325
2010-07-05,2.49777777
2010-10-10,3.77333333
2010-10-12,2.48666666
2010-10-13,3.87472222
2010-10-14,1.44111111
2010-10-15,0.66416666
2010-10-19,0.765
2010-10-23,0.94111111
2010-10-26,1.14888888
2010-10-28,1.01194444
2010-11-28,2.7975
2010-12-19,3.10972222
2011-02-04,4.1075
2011-02-11,3.35194444
2011-07-24,4.69777777
2011-08-19,5.5175
2011-08-28,4.23555555
2011-09-01,1.63361111
2011-09-02,1.56388888
2011-10-05,3.85388888
2011-10-06,3.39527777
2011-10-07,3.56083333
2011-10-08,4.76472222
2011-10-15,3.0
2011-10-30,0.49527777
2011-10-31,1.27583333
2011-12-09,6.43027777
2011-12-26,7.27305555
2012-02-02,3.69444444
2012-02-06,5.71944444
2012-07-20,0.19972222
2012-08-12,2.45583333
2012-10-11,3.81277777
2012-10-12,0.14666666
2012-12-23,3.95777777
2013-01-27,0.53416666
2013-01-31,2.02944444
2013-02-03,1.85833333
2013-02-06,1.47444444
2013-03-01,0.04166666
2013-03-02,0.79666666
2013-03-03,0.79722222
2013-03-10,1.07222222
2013-09-19,0.79861111
2013-10-02,0.73111111
2013-11-05,0.66055555
2013-11-24,0.66138888
2013-11-27,0.49472222
2013-12-02,0.3525
2013-12-13,0.665
2013-12-26,0.83166666
2014-01-03,0.72722222
