Date,Time
2003-07-10,9.79138888
2003-09-09,0.00222222
2003-12-15,0.29416666
2004-03-24,1.17916666
2004-03-25,7.42222222
2004-04-12,0.30666666
2004-04-28,5.17722222
2004-04-29,6.78305555
2004-05-01,4.44666666
2004-05-02,3.56222222
2004-05-04,8.36805555
2004-05-05,0.0575
2004-05-06,0.09388888
2004-05-08,0.14805555
2004-05-10,0.09638888
2004-05-13,0.88555555
2004-07-11,7.35305555
2004-07-14,6.31555555
2004-07-23,0.00194444
2004-07-25,0.09666666
2004-07-27,0.00916666
2004-07-28,0.0375
2004-07-31,0.05888888
2004-08-17,0.00277777
2004-09-08,1.53277777
2004-09-12,4.31861111
2004-09-13,1.28583333
2004-09-15,9.74638888
2004-09-16,8.83111111
2004-09-27,0.00666666
2004-09-28,0.00666666
2004-10-02,0.12222222
2004-10-03,6.2425
2004-10-04,6.69166666
2004-10-23,0.12722222
2004-11-06,0.07611111
2004-11-11,0.07638888
2004-11-12,4.00833333
2004-11-16,0.44861111
2004-11-17,1.78944444
2004-11-20,2.98472222
2004-11-21,5.37527777
2004-11-22,2.73555555
2004-11-29,1.92666666
2004-12-04,0.41333333
2004-12-05,9.18472222
2004-12-07,0.05333333
2005-01-19,0.02694444
2005-01-21,0.01
2005-02-05,4.43583333
2005-02-06,2.85194444
2005-02-11,8.54444444
2005-02-12,0.02055555
2005-02-15,8.34027777
2005-02-16,10.6683333
2005-02-17,2.68666666
2005-02-19,0.00611111
2005-02-20,2.84972222
2005-02-21,3.96722222
2005-03-24,0.03805555
2005-04-05,0.02694444
2005-04-11,1.22361111
2005-04-16,1.49472222
2005-04-19,2.68083333
2005-05-06,0.00555555
2005-05-07,0.35333333
2005-05-20,0.00055555
2005-06-17,2.33388888
2005-06-18,0.34472222
2005-06-20,0.10194444
2005-06-22,4.78555555
2005-07-08,3.45472222
2005-07-09,4.15222222
2005-07-26,1.63222222
2005-07-27,7.80694444
2005-08-12,0.05333333
2005-08-13,0.02861111
2005-08-20,0.08444444
