Date,Time
2006-02-02,3.07111111
2006-02-06,3.3775
2006-02-08,8.85944444
2006-02-14,7.44027777
2006-02-15,1.31555555
2006-02-16,2.89333333
2006-02-19,6.70666666
2006-02-20,0.74722222
2006-02-25,7.50388888
2006-02-26,2.74527777
2006-03-05,3.61055555
2006-03-07,1.3825
2006-03-08,9.75472222
2006-03-09,0.495
2006-03-16,0.66888888
2006-03-19,2.46444444
2006-03-20,5.33833333
2006-03-21,2.00722222
2006-03-23,2.61666666
2006-03-24,3.60055555
2006-03-26,3.52666666
2006-03-27,6.39583333
2006-03-28,0.30888888
2006-04-06,12.7252777
2006-04-07,1.02388888
2006-04-10,6.64027777
2006-04-11,4.59527777
2006-04-20,3.85694444
2006-04-25,0.02638888
2006-04-27,3.27333333
2006-05-02,1.28055555
2006-05-07,4.33777777
2006-05-12,0.97861111
2006-12-11,2.5225
2006-12-15,0.62555555
2006-12-16,5.03861111
2006-12-17,5.24916666
2006-12-20,1.37666666
2006-12-24,2.97972222
2006-12-29,3.04166666
2007-01-04,4.53527777
2007-04-02,1.20472222
2007-04-03,0.82944444
2007-04-21,3.11083333
2007-04-26,2.59888888
2007-10-07,0.80805555
2007-10-14,0.62611111
2007-10-15,1.25694444
2007-10-16,5.32305555
2007-10-21,1.10555555
2007-10-22,1.85
2007-10-28,0.37861111
2007-10-29,4.30027777
2007-11-09,1.71833333
2007-11-23,1.96972222
2007-11-24,0.90555555
2007-12-14,1.99861111
2007-12-15,1.56861111
2007-12-18,0.24861111
2008-01-31,2.15416666
2008-02-02,3.34166666
2008-02-03,0.73472222
2008-02-11,3.61361111
2008-02-12,0.50611111
2008-02-16,1.82944444
2008-02-24,4.8325
2008-02-25,4.02305555
2008-03-02,3.94527777
2008-03-09,1.08361111
2008-03-10,0.855
2008-05-23,4.18
2008-08-12,2.37472222
2008-10-04,0.53388888
2008-10-05,3.30361111
2008-10-07,1.84555555
2008-10-11,4.92027777
2008-10-12,0.26666666
2008-10-19,4.37611111
2008-10-30,5.56722222
2008-11-06,1.71694444
2008-11-09,1.42888888
2008-11-11,2.22305555
2008-11-23,0.2675
2009-01-21,0.48111111
2009-01-22,2.53833333
2009-02-01,1.35611111
2009-02-14,2.27
2009-02-17,2.76833333
2009-02-24,4.13333333
2009-02-25,2.10472222
2009-03-01,1.23861111
2009-03-18,0.11472222
2009-03-21,4.30416666
2009-03-22,0.82722222
2009-03-27,0.07611111
2009-03-31,0.45055555
2009-05-13,2.0725
2009-05-18,1.25472222
2009-05-19,0.53333333
2009-05-20,1.68333333
2009-05-21,0.26666666
2010-03-16,0.33222222
2010-03-17,8.1375
2010-03-18,10.1302777
2010-03-19,0.40944444
2010-03-20,1.53861111
2010-03-21,3.87888888
2010-03-25,5.26166666
2010-03-31,0.82833333
2010-04-01,2.22583333
2010-04-02,4.85138888
2010-04-04,8.03277777
2010-04-06,4.78944444
2010-04-12,3.25972222
2010-04-14,2.42166666
2010-04-15,3.32194444
2010-04-16,2.025
2010-04-29,0.19861111
2010-04-30,2.21777777
2010-05-04,3.33722222
2010-05-06,2.95277777
2010-05-10,1.86833333
2010-05-11,2.61472222
2010-05-21,0.26666666
2010-05-26,1.06666666
2010-10-02,0.26666666
2010-10-15,2.09638888
2010-10-20,1.83194444
2010-10-21,1.17083333
2010-10-29,0.65666666
2010-11-01,1.72222222
2010-11-05,2.50805555
2010-11-06,0.81
2010-11-08,2.61333333
2010-11-09,2.14333333
2010-11-10,3.34638888
2010-11-11,4.74
2010-11-12,3.06277777
2010-11-15,3.31638888
2010-11-19,2.00416666
2010-12-04,0.70888888
2011-01-08,0.46777777
2011-01-15,1.28
2011-01-22,1.69416666
2011-02-04,0.74333333
2011-02-06,2.5375
2011-03-08,3.05777777
2011-03-14,0.77694444
2011-04-14,1.02166666
2011-05-06,0.54888888
2011-10-22,0.64972222
2011-10-24,1.07361111
2011-11-08,1.43944444
2011-11-09,3.32805555
2011-11-19,0.71083333
2011-12-02,0.62916666
2011-12-09,0.09972222
2011-12-31,0.51416666
2012-01-01,3.59972222
2012-01-06,1.27166666
2012-01-30,0.67111111
2012-02-07,1.30833333
2012-02-15,0.18472222
2012-02-16,0.26222222
2012-02-19,0.79277777
2012-02-27,0.915
2012-03-10,0.89138888
2012-08-15,0.10972222
2012-08-21,0.01805555
2012-08-23,0.01805555
2012-08-27,0.00888888
2012-08-31,2.01027777
2012-09-05,0.06055555
2012-09-06,0.58305555
2012-09-07,0.27555555
2012-09-14,0.04444444
2012-09-26,0.06055555
2012-09-28,0.21638888
2012-09-29,0.03555555
2012-10-10,0.00861111
2012-10-17,0.24694444
2012-10-19,0.04916666
2012-11-17,2.32
2012-12-12,2.23833333
2012-12-13,2.49583333
2013-01-03,2.04833333
2013-01-27,2.00166666
2013-02-07,0.09722222
2013-02-15,0.175
2013-03-23,0.20666666
2013-03-24,0.13805555
2013-08-27,0.00333333
2013-09-11,0.17916666
2013-09-19,0.08277777
2013-09-24,3.19
2013-10-18,0.72027777
2013-10-19,8.45083333
2013-10-26,5.37527777
2013-11-04,2.22
2013-11-05,5.61111111
2013-11-25,1.32027777
2013-12-11,0.05083333
