Date,Time
2005-02-14,3.84194444
2006-10-17,5.62666666
2006-10-22,3.33333333
2006-10-23,6.95
2006-11-06,4.52972222
2006-11-07,1.05333333
2006-11-08,11.6016666
2006-11-09,4.72416666
2006-11-10,1.97916666
2006-11-11,4.6225
2006-11-12,4.43027777
2006-11-30,1.05527777
2006-12-01,8.29027777
2007-01-05,0.47333333
2007-01-06,6.56666666
2007-01-07,3.69722222
2007-01-08,6.45083333
2007-01-10,1.86972222
2007-01-11,3.10944444
2007-01-16,0.61472222
2007-01-17,6.95277777
2007-01-18,16.4469444
2007-01-19,3.41083333
2007-01-22,6.27027777
2007-01-23,4.41444444
2007-03-22,3.37333333
2008-02-12,1.13888888
2008-02-13,4.59944444
2008-02-18,0.80083333
2008-02-19,3.71333333
2008-05-03,4.26833333
2008-05-04,4.72444444
2008-08-07,2.08388888
2008-08-28,2.36916666
2008-09-02,1.71694444
2008-09-03,2.56638888
2008-09-07,1.88972222
2008-09-13,3.00222222
2008-09-19,3.21694444
2008-09-23,3.81722222
2008-11-03,4.68444444
2008-11-07,2.28944444
2008-11-08,4.34277777
2009-02-15,1.93666666
2009-04-09,2.77555555
2009-04-10,3.61361111
2009-04-11,0.42333333
2009-04-13,2.91694444
2009-04-14,2.03194444
2009-04-30,2.31527777
2009-05-30,2.22166666
2009-06-05,2.14361111
2009-07-16,2.21833333
2009-07-30,2.305
2009-09-12,3.66805555
2009-09-13,1.7725
2009-09-17,2.72555555
2009-09-29,2.21833333
2009-10-31,2.97111111
2009-11-01,10.1541666
2010-05-29,2.19472222
2010-05-30,2.70638888
2010-05-31,2.48916666
2010-08-05,1.26555555
2010-08-13,4.08972222
2010-08-31,1.57
2010-09-09,2.63
2010-12-29,2.36305555
2012-09-26,1.03638888
