Date,Time
2010-03-12,3.99555555
2010-03-13,2.69833333
2010-08-21,7.07055555
2011-02-13,3.56166666
2011-02-14,3.43638888
2011-12-23,1.65611111
2011-12-24,6.45027777
2012-01-13,1.77583333
2012-01-14,4.28277777
2012-01-21,2.32972222
2012-01-22,3.85333333
2012-03-02,2.23027777
2012-03-03,2.52
2012-03-23,6.55527777
2012-03-24,1.83722222
2012-03-31,6.35583333
2012-04-01,1.3575
2012-04-07,5.93694444
2012-04-08,0.78777777
2012-04-14,5.79638888
2012-04-15,0.49305555
2012-06-10,8.32027777
2012-06-16,8.34777777
2012-06-23,7.94472222
2012-07-21,8.28305555
2012-08-04,7.88361111
2012-09-08,22.2408333
2012-09-15,21.0197222
2012-09-23,6.88277777
2012-11-23,0.24944444
2012-11-24,8.01222222
2012-11-30,0.84583333
2012-12-01,7.8675
2012-12-13,1.03972222
2012-12-14,5.67666666
2013-02-22,2.275
2013-02-23,3.54805555
2013-03-01,4.83
2013-03-02,2.97194444
2013-12-20,1.94138888
2013-12-21,5.79027777
