Date,Time
2003-01-19,0.02777777
2003-03-28,0.02777777
2003-04-05,0.07416666
2003-04-06,0.82416666
2003-04-07,0.02138888
2003-04-20,0.02138888
2003-04-24,0.02777777
2003-04-30,0.67861111
2003-05-05,0.595
2003-06-25,0.595
2003-07-01,1.6225
2003-07-06,2.32583333
2003-08-18,0.12222222
2003-09-10,1.94944444
2003-11-22,0.22916666
2003-11-24,0.01027777
2003-11-28,0.02055555
2003-12-27,0.205
2004-03-16,0.18083333
2004-03-21,5.7425
2004-06-14,5.00694444
2004-06-15,2.91277777
2004-06-16,4.60527777
2004-06-17,2.62638888
2004-06-18,4.38833333
2004-06-19,4.76222222
2004-07-27,2.84166666
2004-08-01,2.45027777
2004-09-13,0.35305555
2004-11-02,0.35305555
2005-01-21,0.82333333
2005-01-22,4.39333333
2005-01-23,5.71555555
2005-01-24,6.495
2005-01-25,2.58333333
2005-02-21,0.02222222
2008-01-12,0.6075
2008-01-13,0.6075
2008-10-16,0.445
2009-01-26,1.93055555
2009-02-27,0.37694444
2009-02-28,1.62361111
2009-03-01,0.1175
2009-08-12,0.105
2009-08-13,0.53
2009-08-15,0.08833333
2009-08-20,0.44527777
2009-08-22,0.34694444
2009-08-23,1.13722222
2009-08-24,0.67916666
2009-08-27,0.00916666
2009-08-30,0.10555555
