Date,Time
2003-05-16,0.1275
2006-05-01,0.05805555
2006-05-02,2.70138888
2006-05-21,0.16277777
2006-05-22,4.89805555
2006-05-23,3.07611111
2006-05-30,3.46472222
2007-02-24,4.48555555
2007-03-21,2.36
2008-03-08,4.40138888
2008-03-19,2.56055555
2008-04-05,2.35166666
2008-05-08,3.09138888
2008-09-05,3.66388888
2008-11-22,4.30694444
2008-11-23,3.84527777
2008-11-25,2.00361111
2008-11-26,0.7225
2008-12-29,3.9475
2009-02-02,4.02805555
2009-06-01,1.9775
2009-06-06,3.5325
2009-06-29,2.26277777
2009-07-12,1.82277777
2009-07-17,1.405
2009-07-20,5.81388888
2009-07-25,2.22
2009-07-29,2.93194444
2009-07-30,2.00444444
2009-08-28,2.03416666
2009-09-11,2.82944444
2009-09-12,1.14583333
2009-09-14,1.66138888
2009-10-03,3.28944444
2009-11-28,6.49666666
2009-12-24,3.94138888
2010-01-01,5.60333333
2011-02-04,2.53555555
2011-08-23,0.05583333
2011-08-24,2.48194444
2011-10-14,0.79527777
2011-10-23,2.94027777
2011-10-24,1.04888888
2011-11-01,2.37388888
2011-11-12,3.92555555
2011-11-25,1.56
2012-01-20,2.64111111
2012-01-24,5.37916666
2012-02-27,3.50666666
2012-03-04,3.42861111
2012-04-10,3.665
2012-04-13,2.73694444
2012-08-04,2.79527777
2012-08-05,8.45666666
2012-09-16,19.5930555
2012-10-21,2.89277777
2012-10-22,2.98055555
2012-11-26,3.57277777
2012-11-27,0.67
2013-09-08,2.04833333
2013-09-10,1.99972222
2013-09-13,1.85277777
