Date,Time
2006-02-03,3.49861111
2006-02-04,3.52555555
2006-02-09,1.75555555
2006-02-16,2.25694444
2006-02-18,5.115
2006-02-19,0.05666666
2006-02-20,4.49166666
2006-02-25,5.27222222
2006-02-26,7.15055555
2006-02-27,3.60416666
2006-03-01,2.67277777
2006-03-02,3.09305555
2006-03-04,5.4925
2006-03-06,1.03027777
2006-03-09,2.75777777
2006-03-11,2.60583333
2006-03-14,4.14416666
2006-03-18,1.35111111
2006-03-22,1.73611111
2006-03-25,4.9825
2006-03-31,3.65305555
2006-04-03,5.76027777
2006-05-28,6.5275
2006-05-30,1.71277777
2010-01-07,1.90555555
2010-01-08,2.87277777
2010-01-09,2.77722222
2010-01-17,2.48
2010-01-23,5.06888888
2010-04-28,1.17194444
2010-04-29,0.46694444
2010-04-30,3.38555555
2010-07-08,6.12138888
2010-07-12,7.1725
2010-07-13,4.99388888
2010-08-01,11.0844444
2010-08-02,6.05305555
2010-08-03,6.16638888
2010-08-13,13.3672222
2010-08-21,4.94722222
2010-08-28,0.40444444
2010-08-29,13.3727777
2010-09-01,2.57361111
2011-06-10,2.41972222
2011-06-12,10.515
2011-06-13,5.69611111
2011-06-24,10.5666666
2011-06-25,0.07694444
2011-07-07,4.5475
2011-07-15,6.27638888
2011-07-19,3.00611111
2011-07-22,7.27611111
2011-07-29,3.67611111
2011-09-05,6.10305555
2011-09-06,9.56611111
2011-09-07,1.61083333
2011-09-08,2.56527777
2011-09-14,8.06722222
2011-09-21,8.59083333
2011-09-30,1.27527777
2011-10-01,5.71694444
2011-10-02,1.69916666
2011-10-06,2.72722222
2011-10-07,1.13694444
2011-10-10,0.22222222
2011-10-11,5.6825
2011-10-20,0.66527777
2011-10-21,7.67222222
2011-10-25,7.09722222
2011-11-11,3.56388888
2011-11-12,1.82722222
2011-11-15,6.37
2011-11-16,4.855
2011-11-19,2.54472222
2011-11-20,2.28833333
2011-11-21,3.43055555
2011-11-27,3.46361111
2011-11-28,5.57888888
2011-11-30,8.67527777
2011-12-01,2.08972222
2011-12-05,4.10722222
2011-12-06,0.90805555
2013-07-20,1.60972222
