Date,Time
2003-08-21,3.46694444
2004-03-28,10.4261111
2004-06-19,6.88833333
2004-06-20,6.29222222
2005-05-12,0.2575
2005-11-16,0.05388888
2005-12-19,2.13861111
2006-01-08,0.05805555
2006-01-09,1.34638888
2006-01-11,0.39944444
2006-02-16,0.77194444
2006-03-04,0.07833333
2006-04-13,0.07361111
2006-04-21,0.06
2006-05-02,0.26388888
2006-05-03,0.05638888
2006-05-16,0.15
2006-06-16,0.11222222
2006-08-15,0.05638888
2006-08-16,0.11111111
2006-09-10,0.13222222
2006-09-18,0.05666666
2006-10-22,0.16833333
2006-11-22,0.05527777
2006-11-27,0.04138888
2006-11-30,0.04111111
2006-12-17,0.05527777
2007-01-06,0.05666666
2007-01-11,0.05694444
2007-01-15,0.05694444
2007-02-21,0.16694444
2007-03-15,0.05527777
2007-04-04,0.05638888
2007-04-15,0.15805555
2007-10-16,0.05555555
2007-12-14,0.05555555
2008-08-13,0.05638888
2008-08-26,0.11194444
2009-09-13,0.07472222
2009-09-18,0.05555555
2009-09-28,0.28777777
2009-09-29,2.85611111
2009-10-02,0.57583333
2009-10-03,2.21
2009-10-08,2.99916666
2009-10-11,4.32638888
2009-10-12,0.80916666
2009-10-14,1.50083333
2009-10-16,3.16527777
2009-10-17,1.30888888
2009-10-24,2.17638888
2009-10-31,3.60722222
2009-11-14,4.70027777
2009-11-18,0.84083333
2009-11-19,0.92416666
2009-11-27,3.15861111
2009-12-11,3.15083333
2009-12-13,1.26583333
2009-12-22,0.97111111
2009-12-23,5.13166666
2009-12-24,0.97111111
2010-01-10,0.80916666
2010-01-11,0.73861111
2010-01-19,3.16083333
2010-01-24,1.52916666
2010-02-04,3.12555555
2010-02-11,1.99888888
2010-02-15,0.78472222
2010-02-21,3.49777777
2010-02-27,1.56472222
2010-03-04,2.70472222
2010-03-11,1.01583333
2010-03-20,3.6425
2010-03-25,1.50083333
2010-04-04,3.76722222
2010-04-10,0.88027777
2010-04-15,0.10388888
2010-04-16,3.63083333
2010-04-21,0.90444444
2010-04-23,1.4775
2010-04-30,3.35888888
2010-05-08,1.06944444
2010-05-13,3.82027777
2010-05-16,1.61083333
2010-05-19,0.87972222
2010-05-26,3.28972222
2010-06-06,0.63138888
2010-06-09,6.85333333
2010-06-21,3.64111111
2010-07-04,1.61944444
2010-07-10,2.65611111
2010-07-20,0.31444444
2010-07-23,1.1975
2010-07-27,0.36472222
2010-07-28,2.82388888
2010-08-11,2.755
2010-08-12,1.00638888
2010-08-19,0.56555555
2010-08-26,1.89166666
2010-08-27,3.03388888
2010-09-04,2.09944444
2010-09-16,0.01444444
2010-09-20,3.34055555
2010-09-21,1.26666666
2010-10-02,0.16194444
2010-10-03,2.72166666
2010-10-11,0.90972222
2010-10-12,0.40277777
2010-10-13,0.37083333
2010-10-17,1.33222222
2010-10-25,1.84361111
2010-11-01,3.15888888
2010-11-05,0.82777777
2010-11-06,0.83583333
2010-11-14,2.38666666
2010-11-15,1.11444444
2010-11-16,2.08888888
2010-11-27,3.24472222
2010-12-06,0.77444444
2010-12-07,0.56611111
2010-12-12,0.89472222
2010-12-18,3.23222222
2010-12-20,1.52888888
2010-12-31,3.21888888
2011-01-01,1.04444444
2011-01-05,0.70805555
2011-01-15,2.69361111
2011-01-16,3.15722222
2011-01-18,1.28055555
2011-01-28,3.43888888
2011-02-05,0.44833333
2011-02-06,0.65027777
2011-02-12,0.69888888
2011-02-14,2.14083333
2011-02-15,0.44361111
2011-02-18,3.15944444
2011-02-19,0.45638888
2011-02-20,2.83666666
2011-02-21,2.02055555
2011-02-22,3.48888888
2011-02-24,0.77416666
2011-02-25,0.25444444
2011-02-27,2.86333333
2011-02-28,4.08083333
2011-04-05,3.38888888
2011-04-12,0.52
2011-04-20,3.30888888
2011-04-23,3.60916666
2011-05-05,3.57027777
2011-05-20,2.89472222
2011-05-27,1.8025
2011-06-07,0.58583333
2011-06-09,3.14
2011-06-10,0.71361111
2011-06-23,4.60861111
2011-07-14,2.71166666
2011-07-16,0.41833333
2011-07-25,1.45194444
2011-07-26,3.70444444
2011-08-06,1.22777777
2011-08-11,2.45138888
2011-08-19,3.03888888
2011-08-22,0.82611111
2011-08-28,1.1475
2011-09-06,5.115
2011-09-08,2.31527777
2011-09-09,3.35472222
2011-09-10,2.11833333
2011-09-11,2.41777777
2011-09-17,5.085
2011-09-18,0.20277777
2011-09-22,0.47055555
2011-09-23,2.38694444
2011-09-24,1.78666666
2011-10-02,4.54361111
2011-10-16,5.71277777
2011-11-16,2.13722222
2011-11-21,2.90194444
2011-11-29,0.45694444
2011-12-16,5.93222222
2012-01-09,0.92361111
2012-01-21,2.92638888
2012-01-23,2.00888888
2012-01-24,0.25222222
2012-01-30,2.00305555
2012-02-14,3.20277777
2012-02-15,2.42777777
2012-04-10,2.36055555
2012-04-16,2.40666666
2012-05-09,2.6325
2012-05-10,2.505
2012-07-19,1.26194444
2012-07-20,3.76055555
2012-08-24,2.81361111
2012-08-25,5.00083333
2012-09-15,2.39027777
2012-09-17,0.89944444
