Date,Time
2007-10-04,3.22277777
2007-10-05,3.24583333
2007-11-08,6.23361111
2007-11-24,3.60833333
2007-11-25,2.49666666
2007-12-01,5.61805555
2007-12-02,0.76
2007-12-08,6.16333333
2007-12-21,2.82
2007-12-22,4.48722222
2008-01-07,4.3525
2008-01-08,2.5375
2008-01-16,4.43361111
2008-01-17,1.84805555
2008-01-25,5.62055555
2008-03-17,6.45638888
2008-03-26,6.5975
2008-04-23,6.01527777
2008-04-28,6.34305555
2008-06-20,4.50083333
2008-06-21,1.63833333
2008-07-03,6.7675
2008-08-11,1.05888888
2008-08-12,4.315
2008-08-31,6.31916666
2008-10-03,6.50944444
2008-10-27,4.83888888
2008-10-28,1.48805555
2008-11-05,6.4475
2008-11-20,4.66166666
2008-12-01,0.11138888
2008-12-13,2.45305555
2008-12-14,2.97194444
2008-12-29,6.58055555
2009-01-09,4.13638888
2009-01-10,2.9175
2009-01-19,3.78305555
2009-01-20,1.45666666
2009-01-31,5.94194444
2009-02-24,5.77388888
2009-03-12,6.89083333
2009-04-23,5.99444444
2009-05-26,6.51222222
2009-06-14,6.02888888
2009-06-20,6.55027777
2009-07-07,6.78583333
2009-07-26,5.74611111
2009-09-04,6.27861111
2009-09-18,6.25333333
2009-10-05,4.77388888
2009-10-06,1.48083333
2009-10-17,0.31805555
2009-10-18,5.74361111
2009-12-27,3.69833333
2009-12-28,2.91777777
2010-02-10,0.2075
2010-03-27,6.82277777
2010-04-01,5.92861111
2010-04-11,6.65166666
2010-04-20,6.30388888
2010-04-28,4.9675
2010-05-05,3.09944444
2010-05-06,3.32416666
2010-05-20,6.42055555
2010-05-28,6.01861111
2010-06-04,6.3775
2010-07-07,6.30694444
2010-07-09,6.55277777
2010-07-21,6.51138888
2010-09-08,5.78305555
2010-09-19,6.40361111
2010-09-27,6.49388888
2010-11-19,4.52861111
2010-11-20,2.08055555
2011-03-27,3.33166666
2011-07-01,6.54555555
2011-08-13,6.91916666
