Date,Time
2007-02-28,1.35972222
2007-03-02,2.88833333
2007-03-03,1.19805555
2007-03-06,1.72416666
2007-03-07,1.61388888
2007-03-08,1.62611111
2007-03-09,0.76611111
2007-03-10,0.76472222
2007-03-11,1.71527777
2007-03-16,3.00722222
2007-09-09,2.08055555
2007-09-11,8.49916666
2007-09-14,7.14472222
2007-09-15,2.85083333
2007-09-16,3.70472222
2007-09-17,7.13388888
2007-09-18,2.57861111
2007-09-19,2.54888888
2007-09-21,3.05888888
2007-09-22,4.53472222
2007-09-24,3.17305555
2007-09-25,3.90666666
2007-09-30,1.18916666
2007-10-01,3.10666666
2007-10-02,1.69972222
2007-10-16,3.06027777
2007-10-17,3.91083333
2007-10-18,3.05666666
2007-10-19,7.47194444
2007-10-20,3.65416666
2007-10-22,4.4175
2007-10-23,7.66722222
2007-11-14,3.05805555
2007-11-15,5.13944444
2007-11-16,4.27888888
2007-11-19,7.52361111
2007-11-27,7.555
2007-12-02,2.19555555
2007-12-03,2.41388888
2007-12-10,3.80388888
2007-12-11,3.57
2007-12-13,3.57694444
2007-12-21,6.1175
2007-12-31,3.56694444
2008-01-01,7.64472222
2008-01-02,6.64888888
2008-01-23,3.05916666
2008-01-26,3.05777777
2008-02-04,1.35944444
2008-02-05,5.18305555
2008-02-06,2.48166666
2008-04-06,1.14416666
2008-04-11,1.21472222
2008-06-08,2.22638888
2008-06-10,3.05805555
2008-06-11,2.71833333
2008-08-21,3.90666666
2008-08-22,3.05722222
2008-08-23,0.61444444
2008-09-07,4.59
2008-09-08,5.35361111
2008-09-13,0.33972222
2008-09-14,7.05361111
2008-09-15,0.21027777
2008-09-19,7.67611111
2008-09-20,2.9725
2008-09-23,2.54833333
2008-10-01,3.09611111
2008-10-02,1.52944444
2008-10-03,2.03777777
2008-11-22,1.22055555
2008-11-24,1.69888888
2008-11-25,6.65666666
2008-11-26,6.09333333
2008-12-01,2.66472222
2008-12-07,2.32388888
2008-12-15,5.02972222
2009-03-12,1.52861111
2009-03-14,2.20722222
2009-03-17,2.71694444
2009-03-28,2.38388888
2009-03-29,1.52916666
2009-03-30,1.69805555
2009-04-30,0.255
2009-05-01,5.03666666
2009-05-02,3.06944444
2010-02-11,3.94361111
2010-02-13,2.54833333
2010-02-14,2.63333333
2010-02-15,9.00277777
2010-02-16,4.61444444
2010-02-17,9.00361111
2010-02-23,6.39777777
2010-02-24,6.79472222
2010-03-03,2.71916666
2010-03-10,5.77472222
2010-03-11,2.66305555
2010-03-30,2.48277777
2010-03-31,2.71694444
2010-04-03,6.45638888
2010-04-06,3.39722222
2010-04-07,9.37055555
2010-04-09,0.42444444
2010-04-10,3.14222222
2010-04-12,2.20777777
2010-04-14,4.75666666
2010-05-03,5.46777777
2010-05-04,2.9725
2010-05-13,2.20777777
2010-05-16,3.57305555
2010-05-19,3.39694444
2010-05-20,1.95805555
2010-05-24,7.75805555
2010-05-26,3.14388888
2010-05-28,3.51194444
2010-05-30,2.27916666
2010-05-31,4.02055555
2010-12-03,0.77111111
