Date,Time
2005-10-17,0.91416666
2005-10-18,2.67527777
2005-10-19,1.55055555
2005-11-22,2.80194444
2005-11-28,0.85611111
2005-11-29,11.6983333
2005-12-01,5.18944444
2005-12-02,8.51027777
2005-12-03,1.795
2005-12-04,9.07722222
2005-12-05,13.765
2005-12-08,2.02861111
2005-12-09,10.8041666
2005-12-15,8.48833333
2005-12-16,12.4722222
2005-12-17,8.87138888
2006-01-02,1.70694444
2006-01-03,7.01388888
2006-01-09,7.63083333
2006-01-10,1.91222222
2006-01-11,2.87472222
2006-01-13,1.81194444
2006-01-14,5.90861111
2006-01-15,7.91111111
2006-01-16,0.2825
2006-05-01,6.56138888
2006-12-06,4.56888888
2006-12-08,2.06055555
2006-12-10,2.06583333
2006-12-13,4.70166666
2006-12-15,2.20555555
2006-12-16,0.94972222
2006-12-21,2.78
2006-12-22,4.89
2006-12-23,7.32305555
2006-12-26,2.27555555
2006-12-31,2.07888888
2007-01-19,2.45694444
2007-01-26,5.64444444
2007-10-11,1.49
2007-12-28,1.34638888
2008-01-19,2.82638888
2008-01-30,4.01305555
2008-02-01,6.48444444
2008-02-15,7.64138888
2008-02-18,3.32361111
2008-02-22,3.65888888
2008-02-29,2.34611111
2008-03-01,2.18277777
2008-03-08,3.64888888
2008-03-09,1.65722222
2008-03-12,3.69611111
2008-03-22,1.31138888
2008-04-11,4.21277777
2008-04-27,1.46416666
2008-05-07,6.45944444
2008-05-08,2.35333333
2008-05-09,2.31805555
2008-05-28,2.4125
2008-05-30,1.73361111
2008-05-31,6.61194444
2008-06-02,5.84277777
2008-07-05,3.41583333
2008-07-06,8.58527777
2008-07-11,1.19388888
2008-08-24,0.16638888
2008-08-30,1.66861111
2008-08-31,1.51694444
2008-09-03,1.04944444
2008-09-08,0.61694444
2008-11-03,1.61333333
2008-11-05,4.9925
2008-11-14,3.03833333
2008-12-07,2.7875
2008-12-08,1.69138888
2008-12-10,0.53277777
2008-12-11,11.9605555
2008-12-12,0.31611111
2008-12-13,4.54055555
2008-12-15,8.07777777
2008-12-16,2.65527777
2008-12-22,3.44305555
2008-12-23,2.54694444
2008-12-24,6.50444444
2008-12-26,3.24472222
2008-12-27,2.7375
2008-12-31,1.91583333
2009-01-01,4.1325
2009-01-02,1.74333333
2009-01-17,3.54722222
2009-01-18,4.06805555
2009-01-20,1.84027777
2009-01-27,2.21805555
2009-01-28,0.815
2009-02-03,2.30527777
2009-02-04,4.28722222
2009-02-05,4.00416666
2009-02-06,3.48555555
2009-02-07,4.47638888
2009-02-08,6.23361111
2009-02-14,2.23888888
2009-02-19,2.94861111
2009-02-22,5.20305555
2009-02-23,3.66083333
2009-02-24,3.15027777
2009-02-28,1.69083333
2009-03-02,7.70083333
2009-03-07,4.31444444
2009-03-08,4.71722222
2009-03-11,7.27416666
2009-03-12,1.57638888
2009-03-13,5.07666666
2009-03-14,4.79694444
2009-03-15,3.535
2009-03-16,6.75333333
2009-03-20,1.92222222
2009-03-25,7.255
2009-03-27,3.48361111
2009-03-30,4.34805555
2009-04-01,5.07416666
2009-04-02,0.89055555
2009-04-03,2.90833333
2009-04-05,4.89777777
2009-04-09,5.69138888
2009-04-10,7.64194444
2009-04-15,2.81666666
2009-04-22,10.7080555
2009-04-23,2.50611111
2009-04-25,1.31888888
2009-04-26,3.54027777
2009-04-27,5.12277777
2009-04-29,3.1
2009-04-30,2.98055555
2009-05-01,4.25722222
2009-05-02,11.7922222
2009-05-03,9.09166666
