Date,Time
2005-06-27,3.09444444
2006-06-07,1.69472222
2006-06-08,4.83055555
2006-06-09,7.50027777
2006-06-10,5.34138888
2006-06-11,7.70055555
2006-06-12,9.41
2006-06-13,1.78194444
2006-06-14,10.9280555
2006-06-15,2.23194444
2006-06-26,1.79777777
2006-06-27,3.89583333
2006-09-07,8.02111111
2006-09-21,3.69722222
2006-09-22,1.16888888
2006-09-25,3.94944444
2006-09-26,5.24027777
2006-09-27,0.97527777
2007-01-16,2.86444444
2007-01-20,3.78916666
2007-01-21,3.74722222
2007-01-23,4.21722222
2007-01-24,2.98694444
2007-01-26,1.70833333
2007-01-27,3.96083333
2007-01-29,0.45583333
2007-01-30,4.005
2007-01-31,2.37
2007-02-01,8.95472222
2007-02-03,1.75583333
2007-02-05,6.11305555
2007-02-07,0.88527777
2007-02-10,2.93305555
2007-02-19,2.6775
2007-02-20,0.87638888
2007-02-27,0.13138888
2007-02-28,2.42083333
2007-03-02,3.41472222
2007-03-03,4.52888888
2007-03-04,4.69638888
2007-03-05,2.95194444
2007-03-07,6.40138888
2007-03-08,9.20083333
2007-03-09,0.87027777
2007-03-10,4.97527777
2007-03-11,3.79888888
2007-03-15,5.40611111
2007-03-16,1.24388888
2007-04-23,4.61722222
2007-10-18,2.41
2007-10-21,1.41944444
2007-10-22,2.62138888
2007-10-28,0.37861111
2007-10-29,5.48305555
2007-11-05,5.70833333
2007-11-06,5.90972222
2007-11-11,4.72111111
2007-11-12,5.76583333
2007-11-13,1.955
2007-11-15,3.88194444
2007-11-26,1.79666666
2008-04-14,4.81138888
2008-04-26,2.76972222
2008-05-02,6.43583333
2008-05-03,2.81916666
2008-05-08,1.89666666
2008-05-12,1.84527777
2008-05-14,1.44416666
2008-05-16,1.59166666
2008-06-02,2.04555555
2008-06-03,1.31305555
2008-06-25,1.18416666
2008-06-26,10.5725
2008-06-27,4.72916666
2008-06-29,3.28027777
2008-06-30,2.16361111
2008-07-01,2.74361111
2008-07-02,2.60666666
2008-07-03,3.03416666
2008-07-04,1.05916666
2008-07-18,4.00083333
2008-08-02,3.33666666
2008-08-03,5.70916666
2008-08-09,2.01055555
2008-09-01,0.57777777
2008-09-22,2.72694444
2008-09-23,0.415
2009-03-18,2.3775
2009-03-21,2.39305555
2009-05-18,1.70472222
2009-06-05,0.05611111
2009-07-05,5.85027777
2009-07-06,5.64888888
2009-07-07,2.29555555
2009-10-06,3.60611111
2009-10-12,2.18277777
2009-10-26,1.93722222
2009-11-15,0.605
2009-11-16,3.98583333
2010-01-29,3.09611111
2010-01-31,0.16222222
2010-02-03,1.85861111
2010-02-04,12.4825
2010-02-05,0.66138888
2010-02-27,5.30305555
2010-02-28,1.83277777
2010-03-01,2.43833333
2010-03-02,2.55972222
2010-07-04,8.84777777
2010-07-05,9.66888888
2010-11-06,2.38083333
2010-11-09,2.24416666
2010-11-19,1.21277777
2010-11-20,1.00527777
2010-11-24,2.04888888
2011-02-15,2.77444444
2011-02-16,0.93333333
2011-05-04,4.975
2011-05-05,9.04833333
2011-05-07,2.32916666
2011-05-08,0.19027777
2011-05-09,7.38888888
2011-05-15,2.48694444
2011-05-18,2.40416666
2011-05-21,7.49861111
2011-05-22,2.68694444
2011-05-31,3.00222222
2011-06-03,3.64888888
2011-06-04,4.06722222
2011-06-05,2.63111111
2011-06-06,1.94833333
2011-06-07,2.03722222
2011-06-13,1.43472222
2011-06-24,2.67055555
2011-06-25,2.45
2011-07-08,2.21416666
2011-07-09,5.09555555
2011-07-16,4.30805555
2011-10-23,1.21111111
2011-10-30,4.40472222
2011-10-31,1.52527777
2011-11-02,4.5425
2011-11-05,4.45111111
2011-11-06,2.91888888
2011-11-13,4.42055555
2011-12-02,2.80638888
2011-12-03,4.79694444
2011-12-10,2.3125
2011-12-12,0.80027777
2011-12-18,0.79888888
2011-12-19,0.34361111
2012-02-09,2.27305555
2012-02-10,8.625
2012-02-13,0.3
2012-02-26,3.74416666
2012-02-27,1.64888888
2012-03-02,4.09444444
2012-03-04,1.28694444
2012-03-15,2.12972222
