Date,Time
2004-10-23,10.2255555
2004-11-03,5.965
2005-05-06,3.67388888
2005-05-07,3.95805555
2005-05-08,1.83555555
2005-05-09,4.42
2005-05-10,2.61472222
2005-05-16,1.86805555
2005-05-17,2.53805555
2005-05-18,6.25777777
2005-12-02,1.15944444
2005-12-07,4.53194444
2005-12-08,3.29388888
2007-02-17,1.20083333
2007-03-03,3.16666666
2007-04-10,0.41444444
2007-04-11,0.74222222
2007-04-19,1.99027777
2007-04-29,2.68722222
2007-04-30,0.82333333
2007-12-01,5.38111111
2007-12-09,0.39722222
2007-12-10,0.12805555
2007-12-11,2.82416666
2007-12-14,2.54444444
2007-12-19,9.9925
2007-12-21,0.07805555
2007-12-22,7.37805555
2008-01-25,0.68611111
2008-01-26,2.51305555
2008-01-27,4.58111111
2008-01-28,1.74722222
2008-08-04,2.4625
2008-08-09,8.19666666
2008-08-10,0.00388888
2008-08-11,3.31777777
2008-08-13,2.2975
2008-09-20,3.80527777
2008-09-24,3.06583333
2009-04-17,2.34083333
2009-04-18,1.30472222
2009-04-27,0.39111111
2009-04-28,4.12277777
2009-04-29,2.2825
2009-06-07,1.14111111
2009-06-08,1.64305555
2009-06-23,1.58083333
2009-06-24,2.02388888
2009-06-25,2.25555555
2009-06-26,0.33888888
2009-06-27,5.52027777
2009-07-11,1.18361111
2009-08-23,0.74166666
2009-09-09,2.68777777
2009-09-18,2.95666666
2010-06-18,1.24138888
2010-07-02,2.28166666
2010-07-03,3.38527777
2010-07-04,5.23972222
2010-07-05,2.48
2010-07-06,6.66777777
2010-07-07,2.77305555
2010-08-06,2.93722222
2010-08-07,3.71194444
2010-08-08,4.24888888
2010-09-09,2.79055555
2010-09-10,3.38277777
2010-12-09,2.98333333
2010-12-10,3.17083333
2010-12-11,6.02305555
2011-01-07,2.42555555
2011-01-08,0.13972222
2011-01-10,1.52555555
2011-01-11,0.94861111
2011-01-20,2.56638888
2011-01-21,2.29277777
2012-09-24,2.24444444
