Date,Time
2003-12-13,1.27083333
2003-12-14,10.4327777
2003-12-17,3.93583333
2003-12-19,2.02305555
2003-12-20,4.51916666
2004-01-23,2.26555555
2004-01-24,10.7927777
2004-01-25,12.8413888
2004-01-26,14.2375
2004-01-28,5.46472222
2004-09-02,7.93833333
2004-09-03,0.59111111
2004-09-04,8.89583333
2004-09-05,1.65333333
2004-09-06,12.425
2004-09-07,2.53583333
2004-09-09,7.09472222
2005-01-30,7.86722222
2005-06-01,2.70222222
2005-06-02,2.87166666
2005-06-03,5.32
2005-06-04,3.20888888
2005-06-21,2.36444444
2005-06-22,3.31388888
2005-06-26,1.94222222
2005-06-27,0.76
2005-06-29,2.19555555
2005-06-30,3.91972222
2005-07-01,3.04
2005-08-20,5.87694444
2005-08-21,1.03638888
2005-12-11,3.9275
2005-12-20,3.41888888
2005-12-22,3.79805555
2005-12-23,8.10944444
2006-01-03,2.05611111
2006-01-04,5.65777777
2006-01-05,4.98222222
2006-01-06,3.1575
2006-01-07,2.79166666
2006-01-08,0.84555555
2006-01-20,3.20888888
2006-01-29,5.40861111
2006-01-30,7.95527777
2006-03-11,3.40805555
2006-03-12,6.78083333
2006-04-01,4.45305555
2006-04-24,3.23444444
2006-04-26,6.73777777
2006-09-10,2.23722222
2006-12-17,5.28611111
2007-01-25,4.09805555
2007-01-26,2.58861111
2007-01-30,6.78472222
2007-02-11,1.34333333
2007-02-19,3.37527777
2007-11-07,1.07166666
2007-11-14,2.82777777
2007-11-15,4.96
2007-11-21,2.68416666
2007-11-26,0.67555555
2007-11-29,1.83277777
2007-11-30,2.91194444
2007-12-01,7.42222222
2008-01-15,0.67555555
2008-01-17,1.35
2008-01-23,1.26472222
2008-01-24,0.08472222
2008-04-24,2.63027777
2008-04-26,6.59055555
2008-04-27,2.02611111
2008-04-28,8.66944444
2008-04-30,3.14305555
2008-05-06,1.74166666
2008-05-07,7.17555555
2008-05-08,2.61583333
2008-05-11,1.26527777
2008-05-27,0.50611111
2008-05-31,0.75972222
2008-06-01,4.81
2008-06-02,3.29055555
2008-06-08,2.86888888
2008-06-21,0.84388888
2008-07-27,2.61722222
2008-08-20,2.09277777
2008-08-21,1.12277777
2008-11-07,2.53222222
2009-03-12,1.39611111
2009-05-21,4.25527777
2009-05-22,1.97111111
2009-05-23,3.45916666
2009-06-06,1.11833333
2009-06-07,1.05861111
2009-06-08,2.04972222
2009-06-09,1.17972222
2009-06-26,1.8975
2009-07-01,0.10944444
2009-07-02,2.61583333
2009-09-29,1.18194444
2009-10-01,2.90305555
2009-10-02,1.71083333
2009-10-08,2.33444444
2009-10-09,13.1725
2009-10-12,4.34444444
2009-10-13,2.14
2009-10-14,2.0525
2009-10-25,0.64194444
2009-11-03,1.55305555
2009-11-06,5.13444444
2009-11-16,3.95305555
2009-11-17,1.91777777
2009-12-01,2.38888888
2009-12-02,2.47277777
2009-12-04,5.46277777
2009-12-11,1.03138888
2009-12-12,2.29055555
2009-12-14,5.46277777
2009-12-20,1.75583333
2009-12-21,0.31222222
2009-12-24,5.26555555
2010-01-13,1.52194444
2010-01-14,0.80138888
2010-01-31,0.82472222
2010-02-01,1.65055555
2010-02-04,2.01611111
2010-06-21,2.335
2010-07-17,3.29111111
2010-09-11,2.93
2010-10-07,2.29083333
2010-10-09,3.38611111
2010-10-23,2.305
2010-10-30,4.76583333
2010-11-06,2.81222222
2010-11-09,1.73777777
2010-11-11,2.86361111
2010-12-04,4.22055555
2010-12-05,1.16777777
2010-12-08,1.70666666
2010-12-09,0.21388888
2011-01-22,1.53333333
2011-03-01,1.70527777
2011-03-31,0.03777777
2011-04-02,0.05527777
2011-04-03,3.66777777
2011-04-06,3.30166666
2011-04-14,3.37527777
2011-04-21,2.135
2011-04-29,2.30472222
2011-10-30,2.16416666
2011-11-09,2.30194444
2011-11-19,2.32777777
2011-11-25,2.81861111
2011-11-26,0.91083333
2011-12-01,4.30833333
2011-12-02,0.525
2011-12-09,1.22305555
2011-12-10,2.59
2011-12-11,0.56833333
2011-12-12,2.21888888
2011-12-28,1.26583333
2011-12-29,2.6875
2012-01-08,1.16055555
2012-01-09,1.16694444
2012-01-14,2.08972222
2012-01-15,2.5175
2012-01-16,0.95333333
2012-01-18,0.78305555
2012-01-19,1.12416666
2012-01-21,1.37444444
2012-01-27,9.26388888
2012-02-07,2.22055555
2012-02-08,2.06777777
2012-02-10,1.54527777
2012-02-26,2.23833333
2012-02-28,1.60222222
2012-03-10,1.41111111
2012-04-16,1.88277777
2012-04-20,4.45333333
2012-04-21,9.72972222
2012-04-22,4.28444444
2012-04-23,2.06583333
2012-04-25,2.06666666
2012-04-30,1.92444444
2012-07-07,2.05111111
2012-07-08,0.4325
2012-07-26,0.92777777
2012-07-27,9.68444444
