Date,Time
2003-02-23,0.60194444
2003-02-24,1.40666666
2003-03-04,1.10166666
2003-03-05,3.70444444
2003-03-06,0.59583333
2003-03-07,17.6222222
2003-03-08,6.30194444
2003-03-09,5.2875
2003-03-10,8.79916666
2003-04-24,4.65416666
2003-04-27,15.5161111
2003-04-28,8.95222222
2003-05-06,1.85305555
2003-05-07,8.565
2003-05-14,2.64944444
2003-05-17,0.85333333
2003-06-02,3.06972222
2003-06-25,1.23083333
2003-07-05,2.89388888
2003-10-20,3.55361111
2003-10-21,0.78944444
2003-10-22,2.49416666
2003-10-23,2.59861111
2003-10-24,6.21277777
2003-10-25,6.57694444
2003-10-30,16.0875
2003-10-31,6.22416666
2003-11-01,4.605
2003-11-02,8.54861111
2003-11-04,3.43
2003-11-15,4.61083333
2003-11-16,6.84944444
2003-12-04,4.56111111
2003-12-18,3.82722222
2004-01-14,5.72194444
2004-01-24,1.40638888
2004-01-27,4.61638888
2004-01-28,3.37722222
2004-01-29,6.69027777
2004-01-30,10.7016666
2004-01-31,10.5886111
2004-02-28,4.14527777
2004-03-08,1.15944444
2004-03-09,2.83694444
2004-03-17,12.2591666
2004-03-18,1.34777777
2004-03-19,2.94722222
2004-03-20,3.59944444
2004-04-07,1.24638888
2004-04-08,1.84777777
2004-04-26,2.39305555
2004-04-28,1.35972222
2004-04-29,4.63222222
2004-04-30,2.64694444
2004-05-21,5.66777777
2004-05-22,5.00805555
2004-05-24,1.67694444
2004-05-25,2.43666666
2004-06-14,0.46472222
2004-06-15,2.45111111
2004-06-16,1.16861111
2004-06-17,0.95194444
2004-06-18,2.23944444
2004-06-19,1.25611111
2004-07-11,1.71138888
2004-07-12,0.48222222
2004-08-29,2.77416666
2004-09-01,3.38527777
2004-11-11,4.21555555
2004-11-14,6.08
2005-01-25,2.56333333
2005-01-27,1.74722222
2005-01-28,3.75166666
2005-02-03,5.33305555
2005-03-06,0.21333333
2005-03-10,1.63972222
2005-04-20,1.33055555
2005-05-27,2.48694444
2005-10-01,0.48361111
2005-10-02,8.40722222
2005-10-04,0.03888888
2005-10-05,2.66805555
2005-10-14,3.62583333
2005-10-16,3.5725
2005-10-17,3.64388888
2005-10-19,6.93694444
2005-10-26,4.94027777
2005-10-27,1.47583333
2005-10-29,3.78166666
2005-10-31,3.15055555
2005-11-03,4.4425
2005-11-10,3.76222222
2005-11-12,1.54555555
2005-11-13,2.06666666
2005-11-20,5.31805555
2005-11-27,1.80333333
