Date,Time
2006-01-31,1.84083333
2006-02-01,1.56694444
2006-02-05,2.69361111
2006-02-06,2.39361111
2006-02-07,5.48416666
2006-02-08,1.95194444
2006-02-15,1.52583333
2006-03-18,3.64805555
2006-03-19,2.69583333
2006-03-29,3.86333333
2006-04-09,10.3952777
2006-04-10,0.38527777
2006-11-04,5.83111111
2006-11-05,2.39305555
2007-02-22,2.39611111
2007-04-03,2.33583333
2007-04-06,3.49138888
2007-10-29,6.16083333
2007-11-28,6.00611111
2008-01-13,0.655
2008-01-14,0.87055555
2008-03-11,3.73666666
2008-03-25,4.74055555
2008-05-28,1.53722222
2008-11-01,5.47611111
2008-11-08,1.02111111
2008-11-29,4.15888888
2008-12-22,1.35333333
2008-12-23,2.29027777
2008-12-29,3.15694444
2008-12-30,1.0625
2009-01-08,4.51194444
2009-01-16,2.11083333
2009-01-20,0.77861111
2009-01-21,3.19194444
2009-01-22,3.99805555
2009-01-23,3.16222222
2009-01-29,1.55833333
2009-01-30,4.505
2009-02-01,1.35611111
2009-02-03,1.76527777
2009-03-01,4.44166666
2009-03-18,1.42305555
2009-03-21,3.06555555
2009-03-22,2.01944444
2009-03-24,3.58138888
2009-03-27,4.15416666
2009-03-31,3.4
2009-11-07,4.34194444
2009-12-01,2.32388888
2009-12-12,2.7875
2009-12-16,5.51138888
2009-12-18,2.70194444
2009-12-27,3.89861111
2009-12-30,2.21694444
2010-01-10,3.18583333
2010-01-11,5.17
2010-01-14,3.25722222
2010-01-15,1.99138888
2010-01-26,0.12027777
2010-02-08,1.48
2010-02-09,0.90944444
2010-02-12,4.52305555
2010-02-13,0.42777777
2010-03-19,0.40944444
2010-03-20,1.59972222
2010-03-21,3.87888888
2010-04-15,1.78361111
2010-04-29,0.19861111
2010-04-30,2.12611111
2010-05-04,1.13
2010-05-10,1.86833333
2010-05-11,2.67888888
2010-10-29,5.42083333
2010-10-30,2.53527777
2010-11-02,2.15722222
2010-11-11,4.74055555
2010-11-12,5.35555555
2010-11-15,2.30333333
2010-12-20,3.82805555
2010-12-21,3.04166666
2010-12-24,5.03333333
2011-01-07,1.82638888
2011-01-22,2.17527777
2011-01-23,1.29472222
2011-02-07,3.57194444
2011-03-24,3.00111111
2011-03-25,1.08027777
2011-06-03,2.55166666
2011-06-04,0.4275
2011-08-23,2.72694444
2011-09-16,2.51027777
2011-10-09,2.64638888
2011-10-16,0.60944444
2011-12-18,4.15
2012-01-07,2.00472222
2012-01-08,0.95166666
2012-02-20,2.19083333
2012-02-21,1.03694444
2012-02-28,1.64861111
2012-03-04,2.10333333
2012-03-05,1.21
2012-04-06,4.71694444
2012-05-11,2.95611111
2012-11-06,3.00055555
2012-11-17,2.25916666
2012-12-11,1.86388888
2012-12-15,2.1525
2012-12-23,1.44222222
2012-12-31,0.74277777
2013-01-02,3.1825
2013-01-03,2.48861111
2013-03-03,1.61111111
2013-03-04,1.17972222
2013-05-12,0.64472222
2013-05-13,2.99277777
2013-12-24,4.04222222
2013-12-29,0.48444444
2013-12-30,5.64194444
