Date,Time
2003-06-02,2.10444444
2003-06-03,5.60111111
2003-06-04,6.05083333
2003-06-05,3.75166666
2006-02-07,5.99972222
2006-02-10,5.50333333
2006-02-11,4.49083333
2006-02-13,2.38694444
2006-02-16,6.06305555
2006-02-17,4.36305555
2006-03-03,0.45111111
2006-03-04,4.4175
2006-03-09,0.72694444
2006-03-10,4.4625
2006-03-11,0.29611111
2006-03-12,4.43722222
2006-03-13,1.43666666
2006-03-30,2.08833333
2006-03-31,2.11055555
2006-04-01,4.40611111
2006-04-02,2.57888888
2006-04-03,3.79611111
2006-04-04,3.50944444
2006-04-05,1.51055555
2006-04-07,6.05027777
2006-04-08,9.17972222
2006-04-09,3.43638888
2006-04-23,3.53027777
2006-04-26,5.62861111
2006-04-27,0.90166666
2006-05-06,4.57138888
2006-05-07,3.61305555
2006-05-13,0.5475
2006-05-14,2.72305555
2006-06-02,2.05777777
2006-06-03,3.79083333
2006-06-16,7.50222222
2006-06-17,3.33833333
2006-06-18,5.72666666
2006-06-21,1.63555555
2006-08-05,5.52138888
2006-08-06,3.94194444
2006-08-17,5.00611111
2006-09-18,3.95805555
2006-09-28,1.49277777
2006-09-29,2.84694444
2006-09-30,4.98388888
2006-10-01,4.81777777
2006-10-02,3.48861111
2006-10-05,5.67666666
2006-10-06,3.56944444
2006-10-07,6.09083333
2006-10-20,1.68277777
2006-11-16,3.77583333
2006-11-17,1.57027777
2006-11-26,1.94111111
2006-11-27,4.66916666
2006-12-05,2.65555555
2006-12-07,2.96555555
2006-12-08,2.77166666
2006-12-18,2.8125
2006-12-22,1.58166666
2006-12-24,4.65194444
2007-02-04,6.00861111
2007-02-14,4.04777777
2007-02-16,3.795
2007-02-18,3.09861111
2008-06-03,5.36944444
2008-06-04,3.45388888
2008-06-07,2.28083333
2008-06-08,2.44277777
2008-06-09,0.53
2008-06-13,5.73333333
2008-06-28,0.12805555
2008-06-29,6.05027777
2008-06-30,1.07111111
2008-07-01,3.64166666
2008-07-10,2.09944444
2008-07-11,4.31777777
2008-07-13,1.73222222
2008-07-14,1.70222222
2008-07-23,2.15972222
2008-07-24,2.10083333
2008-08-26,0.925
