Date,Time
2008-06-08,0.735
2008-06-09,2.07527777
2008-06-10,1.33833333
2008-06-15,2.39972222
2008-06-16,0.91305555
2008-06-21,1.78805555
2008-06-22,1.60277777
2008-06-28,2.61305555
2008-06-29,3.06527777
2008-06-30,2.72555555
2008-07-16,1.85833333
2008-07-17,1.36
2008-07-26,1.95194444
2008-08-01,2.115
2008-10-08,4.90138888
2008-12-27,3.87222222
2009-01-05,0.8025
2009-01-06,4.60694444
2009-01-07,5.80694444
2009-01-08,4.55638888
2009-01-10,3.31388888
2009-01-11,7.0725
2009-01-13,5.26861111
2009-01-14,1.88555555
2009-01-15,1.90361111
2009-01-19,5.30444444
2009-01-21,2.40694444
2009-01-23,2.19555555
2009-01-24,6.26555555
2009-01-26,5.05777777
2009-01-27,3.52027777
2009-01-29,2.10138888
2009-01-31,1.66916666
2009-02-01,5.14611111
2009-02-03,2.98222222
2009-02-10,2.09527777
2009-02-11,0.78972222
2009-02-12,0.47305555
2009-02-17,3.06166666
2009-02-18,2.42
2009-02-19,6.33166666
2009-02-23,1.58833333
2009-02-27,1.17027777
2009-03-09,2.86
2009-03-12,2.04416666
2009-03-13,3.97194444
2009-03-16,1.84777777
2009-03-17,0.81
2009-03-18,1.71388888
2009-03-31,0.63666666
2009-04-01,1.88527777
2009-04-06,3.16055555
2009-04-07,0.82722222
2009-04-14,2.61583333
2009-04-15,2.32222222
2009-04-16,5.39111111
2009-04-20,5.73916666
2009-04-21,1.38944444
2009-04-26,1.05277777
2009-05-01,0.43972222
2009-05-06,3.87277777
2009-05-08,1.64666666
2009-05-11,3.03166666
2009-05-16,5.49666666
2009-05-24,1.75805555
2009-05-25,3.10777777
2009-05-29,10.0641666
2009-05-30,8.28888888
2009-05-31,0.85138888
2009-06-07,2.30861111
2009-06-10,2.98972222
2009-06-12,6.92
2009-06-13,2.88916666
2009-07-10,4.61666666
2009-07-11,5.40555555
2009-07-12,5.86416666
2009-07-25,2.39277777
2009-07-26,1.04666666
2009-07-29,1.45833333
2009-08-04,3.01333333
2009-08-06,2.69444444
2009-08-09,6.14583333
2009-08-12,3.69833333
2009-08-13,3.40027777
2009-08-14,9.53722222
2009-08-18,2.25111111
2009-08-19,1.51388888
2009-08-20,1.51388888
2009-08-22,3.76444444
2009-08-23,3.25777777
2009-08-24,4.25722222
2009-08-26,2.94916666
2009-08-31,4.50111111
2009-09-01,4.86805555
2009-09-02,1.56833333
2009-09-26,3.02305555
2009-09-30,3.41333333
2011-01-21,3.82027777
2011-01-25,4.24111111
2011-01-28,2.16027777
2011-01-30,2.34277777
2011-01-31,4.19694444
2011-02-02,4.71916666
2011-02-03,4.54194444
2011-02-05,4.99444444
2011-02-06,3.44583333
2011-02-08,3.91722222
2011-02-13,4.37222222
2011-02-21,3.50055555
2011-02-25,2.34472222
2011-03-07,0.75972222
2011-03-10,6.48861111
2011-03-16,3.50111111
2011-03-18,0.06361111
2011-03-19,3.40972222
2011-04-02,2.73055555
2011-04-03,4.82861111
2011-04-05,1.45694444
