Date,Time
2011-07-29,1.22583333
2011-07-30,0.56611111
2011-07-31,0.95333333
2011-08-01,0.90361111
2011-08-02,1.13583333
2011-08-06,0.66833333
2011-08-07,0.48416666
2011-08-16,1.20972222
2011-08-25,0.41861111
2011-08-26,1.00944444
2011-09-24,0.86805555
2011-09-25,0.15083333
2011-10-13,2.30305555
2011-10-14,10.6227777
2011-10-15,1.54138888
2011-10-16,2.91944444
2011-10-17,7.49
2011-10-29,0.77194444
2011-11-26,0.55166666
2011-11-28,0.45
2011-12-18,1.16083333
2012-01-19,0.95694444
2012-02-11,0.94027777
2012-02-23,2.22444444
2012-02-27,4.91138888
2012-02-28,0.35
2012-03-02,2.76277777
2012-03-10,0.83555555
2012-03-31,2.38666666
2012-04-04,2.65055555
2012-04-09,1.58944444
2012-04-10,1.24388888
2012-04-11,2.35805555
2012-04-27,6.4025
2012-05-10,1.11805555
2012-05-18,3.05472222
2012-05-31,3.82833333
2012-06-01,3.4625
2012-06-15,0.90138888
2012-07-20,1.15138888
2012-09-06,1.80861111
2012-09-08,9.24194444
2012-09-10,5.73805555
2012-09-25,9.21222222
2012-10-21,4.09527777
2012-10-23,1.56611111
2012-10-24,9.78194444
2012-11-20,0.96444444
2012-11-25,3.44638888
2012-11-26,0.805
2013-02-05,3.26555555
2013-02-06,6.66583333
2013-02-08,3.28555555
2013-02-09,1.93861111
2013-02-13,1.63888888
2013-02-25,2.29416666
2013-03-14,2.13444444
2013-03-16,5.59472222
2013-04-07,1.99361111
2013-04-22,2.67777777
2013-04-24,3.98805555
2013-04-29,2.49555555
2013-05-05,0.1525
2013-05-06,1.37722222
2013-05-10,0.11833333
2013-05-11,1.21666666
2013-05-14,3.68694444
2013-05-15,0.23583333
2013-06-08,2.03666666
2013-06-09,1.65583333
2013-06-27,1.79694444
2013-06-29,2.04444444
2013-07-12,3.51555555
2013-07-21,2.01833333
2013-08-16,3.6025
2013-09-02,1.82833333
2013-09-03,1.78305555
2013-09-04,1.8
2013-09-08,1.85722222
2013-09-11,1.72222222
2013-09-12,3.42555555
2013-09-13,1.6875
2013-09-15,1.72888888
2013-09-16,2.04472222
2013-09-20,1.76972222
2013-10-20,1.79666666
2013-10-21,2.05194444
2013-10-28,1.81388888
2013-10-29,2.085
2013-11-12,2.00361111
2013-11-15,1.69583333
2013-12-11,1.67611111
2013-12-14,0.95694444
