Date,Time
2008-03-01,4.7025
2008-03-04,1.09277777
2008-03-05,7.10916666
2008-03-06,2.45638888
2008-03-07,5.91888888
2008-03-08,5.07944444
2008-03-09,4.195
2008-03-11,2.32694444
2008-03-16,4.92055555
2008-03-17,3.71527777
2008-03-19,4.17972222
2008-03-23,3.72416666
2008-09-05,6.51111111
2008-09-06,8.35527777
2008-09-08,2.68
2008-09-09,7.43
2008-09-10,7.03972222
2008-09-11,12.5677777
2008-09-15,2.84638888
2008-09-16,4.45777777
2008-09-17,3.02
2008-09-25,3.14805555
2008-09-26,8.01888888
2008-09-28,5.79972222
2008-10-01,4.04611111
2008-10-03,6.16638888
2008-10-04,1.74916666
2008-10-05,0.74083333
2008-10-06,8.48277777
2008-10-09,1.77138888
2008-10-23,0.77611111
2008-10-24,3.81027777
2008-10-25,8.33138888
2008-10-26,0.85027777
2008-10-28,2.76111111
2008-11-12,3.76694444
2008-11-13,6.105
2008-11-14,3.93583333
2008-11-15,9.18555555
2008-11-16,12.3363888
2008-11-17,0.1675
2008-11-24,5.84666666
2008-11-25,0.74666666
2008-11-26,2.57472222
2008-11-29,5.25777777
2008-11-30,2.14111111
2008-12-01,3.6
2008-12-02,5.98972222
2008-12-04,0.2525
2008-12-05,9.60916666
2008-12-07,6.26805555
2008-12-08,7.4575
2008-12-16,8.5425
2008-12-17,4.77611111
2009-01-06,1.78055555
2009-01-07,4.21111111
2009-01-10,2.71805555
2009-01-14,4.9175
2009-01-18,1.75888888
2009-01-28,0.57916666
2009-04-14,2.08916666
2009-04-15,1.41611111
2009-06-19,3.46222222
