Date,Time
2002-08-30,4.29833333
2002-08-31,22.335
2002-09-01,15.7663888
2002-09-05,4.61777777
2002-09-08,3.16027777
2002-09-09,3.95361111
2002-09-16,2.58194444
2002-09-17,6.1225
2002-09-23,4.39055555
2002-09-24,0.90111111
2002-09-25,1.41777777
2002-09-27,2.30638888
2002-09-28,9.93083333
2002-09-30,2.22305555
2002-10-01,2.6725
2002-10-04,0.8175
2002-10-05,5.10638888
2002-10-06,6.58527777
2002-10-07,10.5869444
2002-11-04,0.785
2002-11-13,1.75805555
2002-11-14,2.83333333
2002-11-15,1.91611111
2002-11-16,2.73111111
2002-11-17,1.72944444
2002-11-18,0.90666666
2002-11-25,0.07361111
2002-11-26,1.63083333
2002-11-27,1.81333333
2003-02-15,0.72194444
2003-02-18,7.01472222
2003-02-19,2.02194444
2003-02-21,3.92916666
2003-02-26,2.07027777
2003-02-27,12.2725
2003-03-14,8.35833333
2003-03-16,5.03611111
2003-03-17,1.575
2003-03-18,12.4241666
2003-03-19,10.9383333
2003-03-29,2.69916666
2003-03-30,5.62138888
2003-04-02,3.66361111
2003-04-03,5.45666666
2003-04-04,4.81833333
2003-04-05,7.06527777
2003-04-25,6.08944444
2003-04-26,7.53527777
2003-05-02,8.49555555
2003-05-03,0.17083333
2003-05-13,0.26194444
2003-05-15,2.45194444
2003-05-20,1.35888888
2003-05-26,4.52055555
2003-05-27,6.09305555
2003-05-31,9.45972222
2003-06-01,6.73138888
2003-06-14,1.91861111
2003-07-08,9.41583333
2003-07-09,9.48694444
2003-07-11,1.37888888
2003-07-12,11.6116666
2003-07-13,12.0213888
2003-07-14,11.6722222
2003-07-15,10.6544444
2003-07-16,9.65805555
2003-07-18,1.96194444
2003-07-19,9.90111111
2003-08-19,4.02138888
2003-08-22,8.31972222
2003-08-23,12.355
2003-08-24,1.92694444
2003-08-25,4.92083333
2003-08-26,9.74111111
2003-08-27,0.46694444
2003-08-28,13.5494444
2003-08-29,18.0411111
2003-08-30,19.1669444
2003-08-31,11.7605555
2003-09-01,1.50333333
2003-09-04,7.79361111
2003-09-05,3.59222222
2003-09-08,0.69833333
2003-09-09,10.6780555
2003-09-18,8.175
2003-09-27,10.7522222
2003-10-02,7.82555555
2003-10-09,18.4361111
2003-10-12,8.31194444
2003-10-14,5.01083333
2003-10-17,8.99777777
2003-10-18,9.56972222
2003-10-19,5.57527777
2003-10-20,4.03333333
2003-10-26,3.63194444
2003-10-27,2.17972222
2003-10-28,13.9847222
2003-10-29,11.6608333
2003-11-12,2.19194444
2003-11-13,3.35055555
2003-11-16,1.48833333
2003-11-17,11.8319444
2003-11-19,8.90972222
2003-11-24,9.8775
2003-11-25,8.2925
2003-11-26,8.73111111
2003-11-29,3.29138888
2003-11-30,4.99916666
2003-12-23,2.14361111
2003-12-24,7.82944444
2004-01-01,2.07944444
2004-01-02,16.3663888
2004-01-03,4.89527777
2004-02-09,1.84805555
2004-02-10,12.2222222
2004-02-22,7.86361111
2004-03-01,4.58361111
2004-03-31,3.00361111
2004-09-13,1.66833333
2004-10-12,1.44305555
