Date,Time
2008-02-08,2.22444444
2008-02-09,2.81277777
2008-02-11,1.31416666
2008-02-15,2.58694444
2008-02-16,1.90472222
2008-02-17,2.36666666
2008-02-25,0.16944444
2008-03-13,3.0925
2008-03-22,2.39916666
2008-03-23,0.17527777
2008-03-24,5.76916666
2009-02-06,2.29333333
2009-02-21,2.31555555
2009-02-25,2.66861111
2009-03-10,1.81638888
2009-03-14,0.5575
2009-03-15,2.51888888
2009-03-17,0.89444444
2009-03-21,2.15055555
2009-03-22,7.78805555
2009-03-24,2.13333333
2009-04-05,1.67555555
2009-04-10,1.48944444
2009-04-12,2.96361111
2009-04-18,2.0675
2009-04-24,7.14805555
2009-04-28,0.99888888
2009-05-08,3.27083333
2009-12-05,1.38611111
2010-01-28,0.85777777
2010-02-05,5.34861111
2010-02-22,5.49222222
2010-03-03,0.77277777
2010-03-06,1.30444444
2010-03-07,0.59444444
2010-03-08,8.11722222
2010-03-09,6.6125
2010-03-31,1.47194444
2010-04-01,5.52416666
2010-04-05,6.11083333
2010-04-12,3.09805555
2010-04-13,2.37916666
2010-04-15,2.27694444
2010-04-20,0.99777777
2010-04-23,1.315
2010-06-11,1.30361111
2010-06-20,1.44083333
2010-10-15,1.25527777
2010-10-17,1.3125
2010-10-18,5.72888888
2010-10-19,0.88444444
2010-10-21,1.63916666
2010-10-22,0.66111111
2010-10-23,4.49
2010-10-24,2.27916666
2010-10-25,3.17333333
2010-10-30,3.04611111
2010-11-02,2.12472222
2010-11-03,4.69777777
2010-11-07,1.83027777
2010-11-08,0.10916666
2010-11-11,4.57194444
2010-11-12,3.84361111
2010-11-13,2.80916666
2010-11-14,2.55416666
2010-11-19,0.51
2010-11-24,2.15027777
2010-12-30,3.02888888
2011-01-01,5.55527777
2011-01-04,5.85666666
2011-01-06,2.44388888
2011-01-15,2.85277777
2011-01-22,2.45194444
2011-01-24,2.76888888
2011-02-04,5.22444444
2011-02-07,1.40944444
2011-02-11,7.83972222
2011-02-16,5.36361111
2011-02-26,0.71527777
2011-03-18,3.32777777
2011-03-20,3.4925
2011-03-25,0.06666666
2011-03-28,4.44361111
2011-03-29,5.76194444
2011-04-07,3.18833333
2011-04-15,0.29916666
2011-06-25,1.44527777
2011-06-26,1.62694444
2011-11-13,3.07444444
2011-11-19,5.05388888
2011-11-26,3.22777777
2011-12-01,2.05388888
2011-12-02,8.0275
2011-12-03,7.73805555
2011-12-10,3.02861111
2011-12-11,5.83083333
2011-12-12,4.82027777
2011-12-29,3.545
2011-12-30,0.89361111
2012-01-16,5.75
2012-01-19,5.06972222
2012-01-20,1.43194444
2012-01-25,3.46833333
2012-01-28,2.99194444
2012-02-02,0.09388888
2012-02-04,3.16777777
2012-02-07,5.25638888
2012-02-08,5.87055555
2012-02-10,1.35555555
2012-02-14,3.14388888
2012-02-18,5.21805555
2012-02-19,2.03361111
2012-02-21,3.69277777
2012-02-27,1.98166666
2012-03-07,5.11694444
2012-03-11,6.46138888
2012-03-14,2.09
2012-03-15,1.21333333
2012-04-03,7.02333333
2012-04-25,1.78277777
2012-05-20,3.82055555
2012-10-18,0.005
2012-11-06,2.70111111
2012-11-08,7.14416666
2012-11-09,4.63972222
