Date,Time
2004-02-25,12.2330555
2004-02-29,9.00138888
2004-03-02,1.49444444
2004-03-03,1.27194444
2004-03-04,10.5055555
2004-03-09,0.59138888
2004-03-10,14.4936111
2004-03-13,12.7180555
2004-03-14,4.23583333
2004-03-15,2.86777777
2004-03-16,2.98138888
2004-03-22,5.38666666
2004-03-23,5.59305555
2004-03-28,4.71083333
2004-03-29,17.5444444
2004-04-05,8.45555555
2004-04-06,9.17027777
2004-04-15,13.96
2004-04-16,12.8738888
2004-04-17,18.7336111
2004-04-18,0.78694444
2004-05-20,1.09611111
2004-05-21,1.84361111
2004-05-26,2.55611111
2005-03-14,4.45555555
2005-03-15,4.01861111
2005-03-19,6.34194444
2005-03-22,5.17888888
2005-03-30,5.95388888
2005-03-31,5.30166666
2005-04-01,6.07861111
2005-04-05,5.78444444
2005-09-06,1.62888888
2005-09-07,4.32138888
2005-09-08,5.18222222
2005-09-09,3.84944444
2005-09-10,3.1
2005-09-14,1.08888888
2005-09-15,3.13027777
2005-09-18,2.96416666
2005-09-19,5.63555555
2005-09-20,1.985
2005-09-22,1.43388888
2005-09-23,1.985
2005-09-28,4.05944444
2005-09-29,1.65444444
2005-10-09,0.28416666
2005-10-10,5.24638888
2005-10-11,3.89527777
2005-10-12,4.68555555
2005-10-13,3.66611111
2005-10-14,3.6725
2005-10-15,0.86166666
2007-11-07,3.93361111
2007-11-08,0.795
2007-11-09,1.91833333
2007-11-10,1.57305555
2007-11-29,5.39722222
2007-12-06,3.09
2007-12-28,1.35638888
2008-02-02,3.90777777
2008-02-08,2.90194444
