Date,Time
2008-05-10,2.58305555
2008-05-12,3.69138888
2008-05-15,0.85166666
2008-05-17,3.17305555
2008-05-19,2.99027777
2008-06-12,2.03861111
2008-06-13,2.22222222
2008-06-14,1.42916666
2008-06-16,0.43527777
2008-06-19,1.52888888
2008-06-21,3.22722222
2008-06-22,3.05888888
2008-06-23,1.86888888
2008-07-07,6.63
2008-07-08,0.45444444
2008-07-09,1.93888888
2008-07-13,7.47583333
2008-07-14,3.39861111
2008-07-21,2.88833333
2008-09-13,1.53
2008-09-14,7.15305555
2008-09-15,8.85
2008-09-16,9.00277777
2008-09-17,3.12861111
2008-09-23,8.15861111
2008-09-25,6.18555555
2008-10-06,1.18861111
2008-10-07,4.24638888
2008-10-09,7.42777777
2008-10-10,6.10138888
2008-10-11,1.8425
2008-10-12,2.03833333
2008-10-16,3.0275
2008-10-17,3.39805555
2008-10-20,2.37916666
2008-10-21,2.5475
2008-10-23,2.395
2008-10-24,3.65138888
2008-10-25,3.27138888
2008-10-28,2.37861111
2008-10-29,1.69972222
2008-11-01,1.42861111
2008-11-02,4.41638888
2008-11-04,7.13638888
2008-11-12,3.00305555
2008-11-14,2.61805555
2008-11-30,4.64583333
2008-12-27,1.35861111
2008-12-31,0.85
2009-01-06,1.69805555
2009-01-07,1.22583333
2009-04-11,2.0375
2009-04-14,2.71916666
2009-04-16,3.32916666
2009-04-20,3.05694444
2009-04-22,1.80138888
2009-04-25,0.42472222
2009-04-26,6.10555555
2009-04-29,3.07666666
2009-04-30,5.00972222
2009-05-03,3.39722222
2009-05-04,10.7147222
2009-05-05,2.37694444
