Date,Time
2004-01-03,1.99
2004-01-04,6.42833333
2004-01-05,6.50027777
2004-01-06,4.98722222
2004-01-07,1.02972222
2004-01-08,6.4675
2004-01-09,9.98138888
2004-04-19,6.475
2005-08-06,6.84472222
2005-08-07,9.35944444
2005-08-23,5.59333333
2005-08-27,0.88555555
2005-08-28,1.72444444
2005-11-03,13.5697222
2005-11-12,4.2975
2005-11-18,1.95833333
2005-11-19,7.76833333
2005-11-21,3.29388888
2005-11-30,1.13277777
2005-12-17,0.55944444
2005-12-18,4.26
2006-02-15,0.11333333
2006-04-22,4.52444444
2006-04-27,4.49277777
2006-04-30,0.57722222
2006-05-01,5.20888888
2006-05-06,3.84083333
2006-05-07,4.22638888
2006-05-09,2.21944444
2006-05-24,1.06111111
2006-05-25,1.56361111
2006-05-28,2.14555555
2006-05-30,1.92888888
2006-05-31,1.55777777
2006-06-17,2.94222222
2006-06-22,0.05666666
2006-06-29,0.16833333
2006-06-30,0.16638888
2006-07-11,0.23694444
2006-08-10,0.11222222
2006-08-11,0.05583333
2006-08-12,0.11083333
2006-09-01,5.84194444
2006-09-02,7.36333333
2006-09-03,6.69472222
2006-09-17,2.31583333
2006-10-03,1.08166666
2006-10-11,4.28166666
2006-10-16,5.43277777
2006-10-17,1.60333333
2006-10-19,3.02972222
2006-10-20,4.07666666
2006-10-27,3.42166666
2006-11-01,8.94583333
2006-11-02,0.85666666
2006-11-03,1.53
2006-11-05,0.65555555
2006-11-06,5.06472222
2006-11-07,3.35444444
2006-11-17,3.05694444
2006-11-25,1.62861111
2006-11-26,3.69555555
2006-11-27,3.63861111
2006-11-28,2.425
2006-11-30,2.21694444
2006-12-01,2.18833333
2006-12-22,4.51583333
2007-01-04,1.98527777
2007-01-05,0.77583333
2007-01-07,1.5025
2007-02-20,2.05222222
2007-04-15,1.26833333
2007-04-17,4.72583333
2007-04-28,2.47027777
2007-09-09,2.24555555
2007-09-11,2.17388888
2007-09-12,2.57861111
2007-09-14,3.72833333
2007-09-15,7.47138888
2007-09-17,7.34861111
2007-09-25,4.21916666
2007-12-28,3.28416666
2007-12-31,5.89666666
2008-01-01,4.01444444
2008-01-12,2.10277777
2008-01-17,2.34166666
2008-01-20,5.58527777
2008-01-21,3.37222222
2008-01-22,1.03555555
2008-01-23,2.8275
2008-01-26,1.16916666
2008-01-27,2.39583333
2008-01-28,3.94361111
2008-01-29,1.91555555
2008-01-30,1.25138888
2008-01-31,3.0625
2008-02-09,1.29694444
2008-02-10,1.03111111
2008-02-11,0.74277777
2008-02-14,2.02777777
2008-02-16,0.56472222
2008-03-06,0.70277777
2008-03-11,1.52388888
2008-03-14,3.05972222
2008-03-15,7.44222222
2008-03-16,2.97333333
2008-05-03,3.32027777
2008-05-12,1.00361111
2008-05-13,0.62
2008-05-14,1.23333333
2008-05-15,5.24083333
2008-05-17,3.31388888
2008-05-19,1.47
2008-05-20,2.1075
2008-05-21,9.365
2008-05-24,4.14583333
2008-05-26,2.21888888
2008-05-27,1.1075
2008-06-18,1.60083333
2008-06-22,5.1575
2008-06-23,4.02444444
2008-07-02,3.70583333
2008-07-18,0.38694444
2008-07-21,0.225
2008-07-22,3.24555555
2008-07-25,2.30472222
2008-07-28,8.29666666
2008-07-31,2.22194444
2008-08-04,1.60305555
2008-08-05,1.83
2008-08-07,3.175
2008-08-09,0.315
2008-08-10,2.52444444
2008-08-11,0.62583333
2008-08-13,0.72222222
2008-08-15,6.22416666
2008-08-16,5.16416666
2008-08-17,4.12138888
2008-08-22,3.87472222
2008-08-24,2.30027777
2008-08-25,1.17638888
2008-08-26,3.48
2008-08-27,0.31111111
2008-08-28,2.28611111
2008-08-30,0.37944444
2008-08-31,0.37416666
2008-09-01,4.08555555
2008-09-02,2.02777777
2008-09-05,4.40416666
2008-09-07,5.92222222
2008-09-16,2.41277777
2008-09-21,4.87194444
2008-10-06,1.5925
2008-10-12,3.28472222
2008-10-13,4.16611111
2008-10-14,4.45138888
2008-10-15,2.88305555
2008-10-27,1.52833333
2008-11-01,3.29472222
2008-11-02,4.96694444
2008-12-17,2.11027777
2008-12-21,4.13333333
2008-12-23,3.28916666
2008-12-24,3.915
2008-12-28,2.60027777
2009-01-01,4.47833333
2009-01-02,4.08888888
2009-01-03,5.33861111
2009-01-05,2.55444444
2009-01-06,3.88777777
2009-01-07,3.21666666
2009-01-09,4.26805555
2009-01-10,3.55444444
2009-01-11,1.1975
2009-01-14,4.93861111
2009-01-15,3.07416666
2009-01-22,2.60583333
2009-01-27,4.56444444
2009-03-28,4.33527777
2009-03-29,3.15722222
2009-03-30,5.47527777
2009-04-01,5.09694444
2009-04-03,2.8275
2009-04-04,1.44361111
2009-04-08,1.73833333
2009-04-09,1.76
2009-04-10,2.31694444
2009-04-11,7.27638888
2009-04-14,1.11416666
2009-04-28,4.20583333
2009-05-10,5.2575
2009-05-15,2.96722222
2009-06-02,0.59888888
2009-06-03,1.76527777
2009-06-04,4.41027777
2009-06-05,3.97388888
2009-06-06,3.495
2009-06-12,3.72166666
2009-06-13,1.60805555
2009-07-31,5.38694444
2009-08-20,2.44444444
2009-08-22,1.61138888
2009-08-27,2.07361111
2009-08-28,4.97
2009-08-31,1.815
2009-09-01,0.42361111
2009-09-14,2.095
2009-09-23,1.47166666
2009-10-28,9.18027777
