Date,Time
2008-09-02,1.69861111
2008-09-03,0.22111111
2008-09-04,4.50333333
2008-09-10,1.35944444
2008-09-12,4.75611111
2008-09-13,10.6166666
2008-09-14,3.23194444
2008-09-15,5.69027777
2008-09-16,2.98111111
2008-09-17,5.77888888
2008-09-18,2.72361111
2008-09-19,2.89833333
2008-09-21,1.27361111
2008-09-25,4.33611111
2008-09-26,6.71111111
2008-09-27,15.7869444
2008-09-28,14.6952777
2008-09-29,10.4375
2008-09-30,0.26
2008-10-01,4.66472222
2008-10-04,5.35194444
2008-10-05,4.9275
2008-10-15,0.76444444
2008-10-22,5.175
2008-11-17,6.23
2008-12-06,6.04111111
2008-12-07,0.63611111
2008-12-12,10.305
2008-12-20,5.94277777
2008-12-21,0.4
2008-12-23,1.68805555
2008-12-24,1.59694444
2009-03-15,2.20972222
2009-03-16,2.3775
2009-03-30,0.88972222
2009-04-08,0.77361111
2009-04-17,9.99388888
2009-06-06,5.02944444
2009-06-07,1.54805555
2009-08-02,12.2488888
2009-08-21,11.4766666
2009-08-22,0.38444444
2009-08-29,6.91638888
2009-09-07,6.21833333
2009-09-15,5.2625
2009-10-29,3.79611111
2009-10-30,1.99166666
2009-11-05,4.07555555
2009-11-06,2.50583333
2009-11-21,3.16361111
2009-11-22,2.83583333
2009-11-23,5.32055555
2009-11-25,9.74472222
2009-12-23,10.565
2010-01-07,6.30916666
2010-01-08,6.59888888
2010-01-09,2.62111111
2010-01-10,3.6775
2010-01-15,7.82833333
2010-01-16,6.28083333
2010-01-21,9.01888888
2010-01-22,6.365
2010-01-27,10.3616666
2010-01-29,4.49972222
2010-01-30,1.87138888
2010-02-01,6.1175
2010-02-05,12.0372222
2010-02-06,16.8152777
2010-02-07,0.00138888
2010-02-08,3.23277777
2010-02-13,13.1122222
2010-02-14,13.5858333
2010-03-01,0.05527777
2010-03-02,6.58055555
2010-03-15,6.69694444
2010-03-19,6.50583333
2010-03-21,2.81555555
2010-03-22,6.43777777
2010-03-25,1.57027777
2010-03-26,1.92194444
2010-03-27,5.79805555
2010-03-28,6.40416666
2010-04-02,5.00194444
2010-04-10,3.98333333
2010-04-16,1.91027777
2010-04-26,5.18972222
2010-05-16,4.93916666
2010-05-17,2.57194444
2010-05-18,7.99361111
2010-05-28,1.72916666
2010-05-30,6.84777777
2010-05-31,0.92472222
2010-06-02,3.33333333
2010-06-07,3.29305555
2010-06-12,5.56138888
2010-06-13,3.44944444
2010-06-16,2.36166666
2010-06-17,1.51833333
2010-06-21,1.64444444
2010-06-28,0.00638888
2010-07-06,1.14222222
2010-07-31,7.02444444
2010-08-04,1.45555555
2010-08-09,1.14111111
2010-08-10,5.56
2010-08-15,2.49694444
2010-08-24,11.7919444
2010-08-25,12.0025
2010-08-26,0.57722222
2010-08-27,6.59972222
2010-09-01,6.07694444
2010-09-11,0.08333333
2010-09-26,6.12805555
2010-09-30,0.65861111
2010-10-01,6.47583333
2010-10-07,1.98833333
2010-10-08,4.52111111
2010-10-16,5.69722222
2010-10-17,0.69888888
2010-10-22,2.54222222
2010-10-31,6.03
2010-11-01,0.58611111
2010-11-07,4.09527777
2010-11-08,2.57305555
2010-11-24,6.68222222
2010-11-28,0.40722222
2010-11-29,0.88777777
2010-12-03,1.86805555
2010-12-04,5.21805555
2010-12-06,2.6625
2010-12-07,3.0025
2010-12-16,5.13638888
2010-12-17,4.28138888
2010-12-22,6.25944444
2010-12-29,3.68861111
2010-12-30,7.76083333
2011-01-03,6.77666666
2011-01-08,0.39694444
2011-01-09,16.7241666
2011-01-10,6.25027777
2011-01-12,4.58083333
2011-01-18,5.04888888
2011-01-21,2.88611111
2011-01-26,8.345
2011-02-01,5.94194444
2011-02-08,6.57416666
2011-02-19,5.46944444
2011-02-23,0.86305555
2011-02-25,4.61472222
2011-02-26,6.59166666
2011-02-27,2.53444444
2011-03-02,1.27
2011-03-03,0.28444444
2011-03-04,8.05611111
2011-03-06,2.89638888
2011-03-07,1.6725
2011-03-08,0.25916666
2011-03-09,0.91055555
2011-03-12,1.47
2011-03-13,0.46
2011-03-14,1.67111111
2011-03-16,2.94527777
2011-03-17,8.83083333
2011-03-18,2.74277777
2011-03-19,1.67305555
2011-03-22,6.79694444
2011-03-23,2.54166666
2011-03-24,1.67361111
2011-03-25,7.38
2011-03-26,6.6975
2011-03-27,4.51833333
2011-03-28,4.30916666
2011-03-31,0.76583333
2011-04-02,4.93583333
2011-04-03,6.75194444
2011-04-04,1.77305555
2011-04-05,2.13333333
2011-04-06,2.02916666
2011-04-07,1.87388888
2011-04-09,1.67305555
2011-04-10,12.9511111
2011-04-11,1.50138888
2011-04-15,1.12194444
2011-04-16,0.40388888
2011-04-17,5.90722222
2011-04-18,9.23277777
2011-04-19,5.0175
2011-04-20,1.67277777
2011-04-21,3.51666666
2011-04-22,1.06638888
2011-04-23,3.74361111
2011-04-24,4.5675
2011-04-25,1.06305555
2011-04-26,1.26722222
2011-04-30,3.0975
2011-05-01,15.2875
2011-05-03,3.06527777
2011-05-06,0.86416666
2011-05-07,4.45416666
2011-05-09,1.26722222
2011-05-10,3.24416666
2011-05-13,1.65111111
2011-05-14,0.67861111
2011-05-15,2.13361111
2011-05-17,2.23333333
2011-05-18,3.80027777
2011-05-19,0.40444444
2011-05-20,6.14777777
2011-05-21,2.21305555
2011-05-22,4.36388888
2011-05-23,3.60138888
2011-05-24,1.67222222
2011-05-25,1.67222222
2011-05-26,3.05277777
2011-05-27,2.23444444
2011-05-28,3.06027777
2011-05-29,4.52138888
2011-05-30,2.88555555
2011-06-02,4.0075
2011-06-03,3.36361111
2011-06-04,4.21055555
2011-06-05,2.33416666
2011-06-06,0.95888888
2011-06-11,6.90361111
2011-06-12,9.87833333
2011-06-13,0.20472222
2011-06-17,6.69944444
2011-06-18,1.99277777
2011-06-23,1.67194444
2011-06-24,6.74916666
2011-06-25,5.03444444
2011-06-26,3.31
2011-07-03,8.00388888
2011-07-04,6.71
2011-07-05,0.60611111
2011-07-09,1.48277777
2011-07-10,7.34583333
2011-07-11,1.41111111
2011-07-12,0.70361111
2011-07-13,0.71972222
2011-07-14,1.14722222
2011-07-16,5.24916666
2011-07-18,0.95888888
2011-07-31,3.46555555
2011-08-01,4.84277777
2011-08-05,0.5225
2011-08-06,5.85944444
2011-08-07,2.89861111
2011-08-11,1.46305555
2011-08-12,9.85916666
2011-08-14,1.89916666
2011-08-15,2.74416666
2011-08-16,5.48944444
2011-08-17,3.98555555
2011-08-20,6.10361111
2011-08-22,1.66555555
2011-08-24,7.02611111
2011-08-26,6.07
2011-08-28,2.89888888
2011-09-02,2.77388888
2011-09-03,3.65944444
2011-09-04,9.33
2011-09-05,4.41222222
2011-09-08,3.45916666
2011-09-09,7.41833333
2011-09-10,5.955
2011-09-11,8.9875
2011-09-13,5.09527777
2011-09-15,10.4130555
2011-09-17,3.57611111
2011-09-18,5.53583333
2011-09-19,6.08833333
2011-09-22,4.87
2011-09-23,6.765
2011-09-25,6.37305555
2011-09-26,6.35111111
2011-09-29,5.83666666
2011-09-30,8.58666666
2011-10-01,5.85333333
2011-10-02,9.54361111
2011-10-03,6.46472222
2011-10-04,3.28361111
2011-10-05,5.20388888
2011-10-06,4.87527777
2011-10-07,2.87611111
2011-10-08,1.13694444
2011-10-15,3.58166666
2011-10-21,3.49611111
2011-10-22,1.18
2011-10-24,3.765
2011-10-25,3.5475
2011-10-26,7.67555555
2011-10-28,0.66555555
2011-10-29,0.82416666
2011-11-01,2.98083333
2011-11-04,4.45611111
2011-11-05,5.07888888
2011-11-06,0.00111111
2011-11-10,4.74611111
2011-11-11,1.64166666
2011-11-13,3.54333333
2011-11-14,3.32055555
2011-11-15,0.37722222
2011-11-18,9.71083333
2011-11-19,0.20333333
2011-11-21,1.32305555
2011-11-22,5.41694444
2011-11-23,4.62777777
2011-11-26,10.3375
2011-11-27,4.99916666
2011-11-28,1.79833333
2011-11-29,4.48361111
2011-12-03,2.75333333
2011-12-04,6.66277777
2011-12-07,0.02472222
2011-12-09,6.40861111
2011-12-11,8.80777777
2011-12-15,2.38305555
2011-12-17,10.1816666
2011-12-18,4.8925
2011-12-20,5.925
2011-12-21,3.13222222
2011-12-27,4.75111111
2011-12-28,8.47416666
2011-12-29,9.82305555
2011-12-30,1.88083333
2011-12-31,10.9611111
2012-01-01,5.03916666
2012-01-02,3.6275
2012-01-03,4.2775
2012-01-04,6.79472222
2012-01-05,8.60638888
2012-01-06,2.60861111
2012-01-07,14.6466666
2012-01-08,5.24666666
2012-01-09,9.90861111
2012-01-10,1.9125
2012-01-11,14.6166666
2012-01-12,3.44444444
2012-01-13,2.55472222
2012-01-16,1.10111111
2012-01-17,11.3419444
2012-01-18,3.35916666
2012-01-19,1.28472222
2012-01-20,2.41527777
2012-01-22,0.84
2012-01-28,1.03555555
2012-01-30,1.06583333
2012-01-31,10.245
2012-02-01,4.53055555
2012-02-03,3.39277777
2012-02-04,10.6580555
2012-02-05,3.38194444
2012-02-08,1.82305555
2012-02-09,0.03083333
2012-02-10,4.68472222
2012-02-11,5.74194444
2012-02-12,14.9516666
2012-02-13,3.80305555
2012-02-14,1.85805555
2012-02-15,0.94305555
2012-02-16,2.21305555
2012-02-17,11.5036111
2012-02-18,9.88083333
2012-02-19,5.23333333
2012-02-20,5.3975
2012-02-21,1.81444444
2012-02-22,5.41777777
2012-02-23,8.72
2012-02-24,6.35083333
2012-02-25,1.16333333
2012-02-26,6.99888888
2012-02-27,0.64972222
2012-02-28,3.13972222
2012-02-29,2.00277777
2012-03-01,2.555
2012-03-02,2.94944444
2012-03-04,0.95972222
2012-03-05,7.83194444
2012-03-06,3.0475
2012-03-07,9.8375
2012-03-08,4.64777777
2012-03-09,5.925
2012-03-10,7.09583333
2012-03-11,5.88611111
2012-03-12,1.88833333
2012-03-14,3.27444444
2012-03-15,1.74027777
2012-03-16,5.85694444
2012-03-17,8.88888888
2012-03-18,5.50305555
2012-03-19,5.88916666
2012-03-20,5.82305555
