Date,Time
2006-06-12,2.06166666
2006-06-13,2.34777777
2006-06-15,2.13583333
2006-06-16,2.7825
2006-06-22,2.23527777
2006-06-23,4.32166666
2006-06-24,4.78
2006-07-05,1.24833333
2006-07-06,4.74055555
2006-07-07,1.69611111
2006-07-10,1.42972222
2006-07-11,2.67277777
2006-07-17,2.04416666
2006-07-18,2.62722222
2006-07-19,2.04694444
2006-07-20,2.97166666
2006-07-21,0.89888888
2006-07-22,4.71666666
2006-07-23,3.82777777
2006-07-24,1.78805555
2006-07-25,1.34805555
2006-07-26,2.33777777
2006-07-27,2.83611111
2006-07-28,5.41055555
2006-07-29,4.49222222
2006-07-30,0.36916666
2006-07-31,1.8625
2006-08-01,3.35194444
2006-08-02,2.22111111
2006-08-03,2.27277777
2006-08-04,0.36
2006-09-17,5.86777777
2006-09-18,4.10194444
2006-09-19,0.72222222
2006-10-03,3.8025
2006-10-04,5.90944444
2006-10-05,3.3275
2006-10-06,7.17888888
2006-10-07,6.94916666
2006-10-08,2.35305555
2006-10-09,7.51888888
2006-10-12,3.55083333
2006-10-15,1.24416666
2006-10-16,5.44805555
2006-10-17,2.43166666
2006-10-18,1.10666666
2006-10-19,3.64111111
2006-10-22,8.30138888
2006-10-23,2.90722222
2006-10-24,2.66861111
2006-10-26,2.77
2006-10-27,5.23611111
2006-10-28,4.55416666
2006-10-29,4.25305555
2006-11-08,1.64027777
2006-11-10,3.15361111
2006-11-11,1.72138888
2006-11-12,2.99194444
2006-11-13,3.53861111
2006-11-27,2.88805555
2006-11-28,0.87055555
2006-11-30,0.45333333
2006-12-01,0.89444444
2006-12-02,3.61833333
2006-12-04,3.01027777
2006-12-05,2.66777777
2006-12-07,7.04444444
2006-12-08,6.96416666
2006-12-12,1.95694444
2006-12-13,3.42555555
2006-12-14,2.11694444
2006-12-15,0.87222222
2006-12-16,1.71833333
2006-12-21,4.11666666
2006-12-22,1.24416666
2006-12-23,3.16444444
2006-12-26,1.7375
2006-12-27,3.03305555
2006-12-31,1.71861111
2007-01-01,5.05666666
2007-01-07,4.32416666
2007-01-08,0.90861111
2007-01-17,2.18194444
2007-01-18,0.69361111
2007-01-20,2.11
2007-01-22,5.23444444
2007-01-24,2.44444444
2007-01-27,2.26916666
2007-01-28,1.38527777
2007-01-30,1.23722222
2007-01-31,2.70666666
2007-02-01,0.19972222
2007-02-02,7.26666666
2007-02-03,5.76222222
2007-02-04,3.06972222
2007-02-05,4.27305555
2007-02-06,2.06361111
2007-02-07,2.46138888
2007-02-12,4.06972222
2007-02-13,12.0472222
2007-02-14,2.44694444
2007-02-15,1.96361111
2007-02-18,3.46527777
2007-02-19,4.34027777
2007-02-20,1.55472222
2007-02-23,2.19305555
2007-02-25,1.48194444
2007-02-26,0.87055555
2007-02-27,2.36805555
2007-02-28,4.17805555
2007-03-21,1.78305555
2007-03-23,3.30361111
2007-03-25,2.75138888
2007-03-26,2.17666666
2007-03-27,6.83472222
2007-03-28,3.50305555
2007-03-29,4.31277777
2007-04-26,2.18916666
2008-02-11,0.8025
2008-03-28,8.36194444
2008-03-29,0.39555555
2008-04-01,1.79777777
2008-06-05,1.74333333
2008-06-06,5.59777777
2008-06-13,1.63972222
2008-07-01,1.70916666
2010-03-21,3.43138888
2010-03-26,3.14111111
2010-04-17,3.06694444
2010-04-30,0.15722222
2010-05-01,2.47722222
