Date,Time
2004-03-08,1.29916666
2004-03-12,4.85944444
2004-03-15,2.88027777
2004-03-16,3.16666666
2004-03-18,9.39861111
2004-03-19,4.34833333
2004-03-21,3.70833333
2004-03-22,2.27805555
2004-03-30,5.60444444
2004-03-31,10.6622222
2004-04-01,11.9894444
2004-04-02,5.785
2004-04-04,5.78138888
2004-04-14,4.47583333
2004-09-26,2.29361111
2004-09-28,1.1625
2004-09-29,2.90222222
2004-10-11,0.13972222
2004-10-12,1.74111111
2004-10-15,1.84583333
2004-10-16,1.78638888
2004-10-19,1.33694444
2004-10-20,4.42138888
2004-10-21,1.29833333
2004-10-25,0.03972222
2004-10-26,0.63777777
2004-10-28,6.80083333
2004-10-29,1.39277777
2004-10-30,7.94388888
2004-10-31,1.38777777
2004-11-01,6.93472222
2004-11-02,6.7575
2004-11-03,0.79138888
2004-11-04,8.57722222
2004-11-05,0.97861111
2004-11-06,2.36333333
2004-11-10,1.38527777
2004-12-06,7.25666666
2004-12-09,3.66277777
2004-12-10,4.50833333
2004-12-11,2.05166666
2004-12-12,6.0475
2004-12-14,2.20777777
2004-12-17,1.77444444
2004-12-22,5.13
2004-12-23,8.48555555
2004-12-31,3.34277777
2005-01-03,1.86944444
2005-01-04,2.74083333
2005-01-05,2.92638888
2005-01-23,4.96583333
2005-07-19,1.78388888
2005-07-20,1.48444444
2005-07-21,1.65666666
2005-07-22,2.43944444
2005-07-23,5.03694444
2005-08-22,2.63027777
