Date,Time
2003-04-24,4.65416666
2003-05-03,7.36805555
2003-05-19,0.29333333
2003-05-20,0.56305555
2003-06-21,10.3702777
2003-06-25,1.23083333
2003-12-06,0.09611111
2003-12-07,9.78111111
2003-12-09,1.10805555
2003-12-10,9.70638888
2003-12-19,0.42805555
2003-12-20,10.4658333
2004-03-04,10.5055555
2004-04-07,0.16805555
2004-04-08,1.61083333
2004-04-11,9.20722222
2004-04-12,8.61416666
2004-04-16,6.98666666
2004-04-17,9.9575
2004-05-05,0.01777777
2004-05-06,0.08583333
2004-05-13,5.57361111
2004-05-14,1.0425
2004-05-20,1.01972222
2004-05-21,7.435
2004-05-22,5.00805555
2004-05-26,2.55611111
2004-06-03,4.20361111
2004-06-08,5.07138888
2004-07-02,6.34916666
2004-09-12,4.31861111
2004-09-13,1.28583333
2004-09-15,9.74638888
2004-09-16,8.83111111
2004-09-19,5.68694444
2004-09-20,1.34333333
2004-10-13,0.70888888
2004-10-18,2.04333333
2004-10-19,0.96472222
2005-01-05,1.18
2005-01-06,13.0377777
2005-01-09,4.17916666
2005-01-10,13.4872222
2005-01-11,9.26277777
2005-01-19,6.64111111
2005-01-22,9.0375
2005-01-27,2.54638888
2005-03-14,1.33361111
2005-03-27,15.3827777
2005-03-28,1.65333333
2005-05-17,6.03555555
2005-05-18,0.935
2005-05-19,8.99166666
2005-05-21,2.61833333
2005-05-22,12.5927777
2005-05-23,3.28222222
2005-06-15,5.85277777
2005-06-16,7.19055555
2005-06-17,12.9527777
2005-06-18,16.8113888
2005-06-19,3.12583333
2005-06-20,4.78277777
2005-06-21,5.39166666
2005-06-22,4.78555555
2005-06-23,2.92972222
2005-06-24,18.7627777
2005-06-25,15.5994444
2005-06-26,1.61611111
2005-06-27,1.25055555
2005-08-13,4.30361111
2005-08-28,4.05666666
2005-09-07,2.23361111
2005-09-08,2.95166666
2005-09-14,1.08888888
2005-09-15,3.13027777
2005-09-20,0.07138888
2005-09-22,1.43388888
2005-09-23,1.985
2005-10-11,0.05555555
2005-11-28,0.42361111
2005-11-30,3.61583333
2006-01-15,4.15222222
2006-01-18,3.15333333
2006-02-01,0.77444444
2006-02-02,3.35805555
2006-02-14,1.0625
2006-02-15,7.45916666
2006-03-25,2.37555555
2006-04-05,0.88416666
2006-04-07,3.80944444
2006-04-14,3.52694444
2006-04-16,5.55416666
2006-04-17,2.84388888
2006-04-18,1.07972222
2006-04-19,1.0125
