Date,Time
2010-10-30,0.79805555
2010-11-06,4.05888888
2010-11-07,0.39388888
2010-12-16,3.165
2010-12-18,1.71472222
2010-12-19,4.96694444
2010-12-20,4.90027777
2010-12-21,2.74611111
2011-01-02,4.21138888
2011-01-03,7.15444444
2011-01-04,7.69333333
2011-01-05,11.9033333
2011-01-06,1.39805555
2011-01-08,2.21444444
2011-01-10,7.14805555
2011-01-14,7.12194444
2011-02-26,4.12916666
2011-03-01,5.49861111
2011-03-02,4.75277777
2011-03-03,8.17861111
2011-03-04,2.99055555
2011-03-07,3.91305555
2011-03-08,5.69277777
2011-03-14,2.80916666
2011-03-17,2.23388888
2011-03-19,1.49805555
2011-03-20,2.15833333
2011-03-28,3.87083333
2011-03-29,5.31583333
2011-03-31,0.03777777
2011-04-01,4.27166666
2011-04-02,0.05527777
2011-04-03,3.58388888
2011-04-06,6.46055555
2011-04-14,5.55694444
2011-04-18,1.81722222
2011-04-21,6.8275
2011-04-28,0.62111111
2011-04-29,4.12583333
2011-04-30,5.15
2011-05-31,0.30972222
2011-06-02,8.0
2011-06-03,8.34305555
2011-06-04,2.30666666
2011-08-18,0.09138888
2011-08-19,0.20944444
2011-08-21,7.73916666
2011-08-22,1.2775
2011-08-23,2.72694444
2011-09-16,4.64555555
2011-10-02,2.81
2011-10-08,5.95777777
2011-10-09,10.8286111
2011-10-10,7.42055555
2011-10-15,1.19055555
2011-10-16,2.23638888
2011-10-22,7.91472222
2011-10-23,2.05583333
2011-10-29,1.29416666
2011-10-30,10.5541666
2011-10-31,1.52527777
2011-11-01,10.0463888
2011-11-02,8.20611111
2011-11-03,7.36305555
2011-11-04,1.17861111
2011-11-05,10.0277777
2011-11-06,2.91888888
2011-11-07,5.465
2011-11-08,3.475
2011-11-09,5.89166666
2011-11-11,4.25222222
2011-11-13,4.42055555
2011-11-17,1.96222222
2011-11-18,17.3180555
2011-11-19,7.3075
2011-11-20,4.69583333
2011-11-25,5.1875
2011-11-26,3.34583333
2011-11-30,0.9375
2011-12-01,4.30833333
2011-12-02,7.98916666
2011-12-03,6.43444444
2011-12-04,2.94611111
2011-12-05,10.2916666
2011-12-08,0.38222222
2011-12-09,11.5755555
2011-12-10,11.7997222
2011-12-11,10.0822222
2011-12-12,4.01194444
2011-12-13,1.69222222
2011-12-14,11.7083333
2011-12-17,8.44833333
2011-12-18,7.71166666
2011-12-19,0.34361111
2011-12-26,0.14055555
2011-12-27,2.33611111
2011-12-28,8.30666666
2011-12-29,12.5105555
2011-12-30,7.45277777
2012-01-07,3.65138888
2012-01-08,7.01194444
2012-01-09,1.37444444
2012-01-10,0.35305555
2012-01-11,7.34444444
2012-01-14,11.9969444
2012-01-15,16.7497222
2012-01-16,3.61361111
2012-01-18,0.7825
2012-01-19,5.36888888
2012-01-22,2.37833333
2012-01-24,3.57805555
2012-01-25,5.24
2012-01-27,0.72777777
2012-01-28,1.94805555
2012-01-29,9.68388888
2012-01-30,8.13333333
2012-02-02,6.92638888
2012-02-03,9.36111111
2012-02-04,6.30555555
2012-02-05,4.64111111
2012-02-06,9.13194444
2012-02-09,2.27305555
2012-02-10,8.625
2012-02-13,0.90333333
2012-02-20,2.19083333
2012-02-21,7.23277777
2012-02-26,15.1025
2012-02-27,1.81972222
2012-02-28,7.37833333
2012-03-02,0.07166666
2012-03-04,8.66611111
2012-03-05,1.21
2012-03-09,2.33527777
2012-03-10,7.62805555
2012-03-14,5.1475
2012-03-19,5.27638888
2012-03-20,0.07083333
2012-04-02,2.87416666
2012-04-03,1.8325
2012-04-05,1.88111111
2012-04-06,6.69055555
2012-04-07,5.11388888
2012-04-08,4.00277777
2012-04-10,2.15583333
2012-04-11,5.69583333
2012-04-12,4.08638888
2012-04-13,8.87027777
2012-04-14,8.58888888
2012-04-25,1.85
2012-04-27,6.23388888
2012-05-09,3.47027777
2012-05-10,4.26777777
2012-05-11,15.8305555
2012-05-12,1.77583333
2012-08-20,0.38222222
2012-08-23,1.52972222
2012-08-24,2.06333333
2012-08-25,2.23666666
2012-08-31,0.05527777
2012-09-02,1.75833333
2012-09-05,2.06472222
2012-09-06,0.07916666
2012-09-10,0.13194444
2012-09-11,1.55305555
2012-09-12,20.5933333
2012-09-13,20.6591666
2012-09-17,2.26527777
2012-09-18,17.4461111
2012-09-19,2.8375
2012-09-24,5.65277777
2012-09-26,3.33666666
2012-09-27,6.36638888
2012-09-28,2.02277777
2012-09-29,0.57888888
2012-10-01,1.28416666
2012-10-02,3.75777777
2012-10-03,0.96472222
2012-10-04,1.96111111
2012-10-05,7.64916666
2012-10-06,3.44916666
2012-10-07,17.0102777
2012-10-08,3.71833333
2012-10-09,2.99305555
2012-10-10,16.7586111
2012-10-12,1.07361111
2012-10-13,0.12083333
2012-10-14,1.50555555
2012-10-15,1.89944444
2012-10-16,6.91916666
2012-10-17,8.21
2012-10-20,2.73277777
2012-10-23,4.00138888
2012-10-24,0.01694444
2012-10-25,10.7919444
2012-10-26,1.025
2012-11-05,6.41222222
2012-11-06,8.89888888
2012-11-07,9.69583333
2012-11-08,5.16527777
2012-11-09,12.3711111
2012-11-10,3.94472222
2012-11-11,0.88527777
2012-11-12,0.98222222
2012-11-13,3.54027777
2012-11-14,5.70972222
2012-11-15,7.53138888
2012-11-16,5.33944444
2012-11-17,5.87222222
2012-11-18,8.37305555
2012-11-19,2.12361111
2012-11-20,1.95138888
2012-11-21,0.78944444
2012-11-24,11.0391666
2012-11-25,3.28555555
2012-11-26,1.92166666
2012-11-27,1.47333333
2012-11-28,5.7825
2012-11-29,10.0169444
2012-11-30,3.20944444
2012-12-02,6.73083333
2012-12-05,1.84888888
2012-12-06,2.24444444
2012-12-09,1.00083333
2012-12-10,0.98472222
2012-12-11,1.86388888
2012-12-12,4.71277777
2012-12-13,2.95666666
2012-12-15,8.64916666
2012-12-16,3.005
2012-12-17,9.37694444
2012-12-18,0.92083333
2012-12-19,3.07361111
2012-12-20,7.19333333
2012-12-23,1.44222222
2012-12-30,2.56361111
2012-12-31,9.30111111
2013-01-02,8.17416666
2013-01-03,10.6858333
2013-01-04,8.67444444
2013-01-07,6.54444444
2013-01-08,14.6761111
2013-01-09,5.12694444
2013-01-10,2.47694444
2013-01-12,0.68833333
2013-01-13,5.00666666
2013-01-14,4.83083333
2013-01-18,2.80833333
2013-01-20,0.41555555
2013-01-21,5.58444444
2013-01-23,4.39694444
2013-01-24,0.68861111
2013-01-25,8.00666666
2013-01-27,2.30222222
2013-02-01,2.45944444
2013-02-02,12.5469444
2013-02-03,5.32722222
2013-02-04,3.54388888
2013-02-06,2.99833333
2013-02-07,5.39638888
2013-02-09,3.95916666
2013-02-10,6.34305555
2013-02-11,3.84944444
2013-02-12,7.57027777
2013-02-13,1.1175
2013-02-14,2.2
2013-02-15,3.72333333
2013-02-16,9.7375
2013-02-17,10.1475
2013-02-18,5.92388888
2013-02-19,5.33555555
2013-02-20,1.43055555
2013-02-21,10.0202777
2013-02-22,2.62388888
2013-02-23,0.6825
2013-02-24,15.2563888
2013-02-25,11.1575
2013-02-26,0.35611111
2013-02-28,2.77916666
2013-03-02,8.17833333
2013-03-03,4.1475
2013-03-04,12.0583333
2013-03-05,0.165
2013-03-09,1.31888888
2013-03-10,0.87194444
2013-03-12,2.63833333
2013-03-13,8.66777777
2013-03-14,6.00194444
2013-03-15,2.01555555
2013-03-20,4.80472222
2013-03-21,3.53111111
2013-03-22,5.56333333
2013-03-23,1.57083333
2013-03-26,3.34222222
2013-03-27,3.29222222
2013-03-28,2.46972222
2013-03-29,4.14666666
2013-03-30,6.08944444
2013-03-31,1.68194444
2013-04-04,2.5125
2013-04-05,2.21972222
2013-04-06,2.1775
2013-04-11,1.02888888
2013-04-12,6.19861111
2013-04-13,8.4825
2013-04-14,11.5275
2013-04-15,9.39694444
2013-04-16,1.99777777
2013-04-20,4.58666666
2013-04-21,3.65166666
2013-04-22,10.0022222
2013-04-23,5.09277777
2013-04-25,1.49194444
2013-04-26,3.42027777
2013-04-27,2.64611111
2013-04-29,1.76472222
2013-05-01,2.08611111
2013-05-02,5.7425
2013-05-03,7.875
2013-05-04,9.55666666
2013-05-05,2.66194444
2013-05-12,0.64472222
2013-05-13,2.99277777
2013-05-14,0.01888888
2013-05-24,0.95472222
2013-05-25,7.55138888
2013-05-26,4.08416666
2013-05-27,3.35472222
2013-05-31,1.16027777
2013-08-27,0.00527777
2013-11-21,0.29083333
2013-11-22,0.30666666
2013-11-23,2.39027777
2013-11-24,4.59888888
2013-11-25,5.10277777
2013-11-29,6.46527777
2013-11-30,2.84638888
2013-12-02,5.60638888
2013-12-03,6.18388888
2013-12-05,0.04666666
2013-12-07,0.71861111
2013-12-08,1.01194444
2013-12-09,0.15027777
2013-12-12,1.93305555
2013-12-13,3.865
2013-12-18,1.02944444
2013-12-19,6.74388888
2013-12-20,10.1108333
2013-12-23,4.08222222
2013-12-24,18.1333333
2013-12-26,3.83
2013-12-27,5.02138888
2013-12-28,4.95972222
2013-12-29,3.295
2013-12-30,15.5083333
2013-12-31,2.53416666
2014-01-01,6.69527777
2014-01-03,13.2875
2014-01-04,10.3611111
2014-01-05,2.69277777
2014-01-06,0.09305555
