Date,Time
2012-11-09,4.63972222
2012-11-11,3.255
2012-11-14,2.51111111
2012-11-15,4.14666666
2012-11-16,2.41305555
2012-11-17,1.48166666
2012-11-19,0.04611111
2012-11-20,0.64638888
2012-12-02,4.36222222
2012-12-06,1.55694444
2012-12-13,2.63638888
2012-12-14,2.94583333
2012-12-15,0.76861111
2012-12-20,2.61
2012-12-23,2.46
2013-01-21,2.46805555
2013-01-27,5.47194444
2013-02-18,3.29305555
2013-04-03,0.90083333
2013-04-06,4.02944444
2013-09-19,0.00944444
2013-09-24,0.00472222
2013-11-11,0.05055555
2013-11-21,0.03611111
2013-11-25,2.65611111
2013-11-30,4.17638888
2013-12-03,0.50555555
2013-12-08,4.56611111
2013-12-13,3.4
2013-12-31,0.94277777
2014-01-01,4.31472222
