Date,Time
2002-08-30,4.24805555
2002-08-31,22.335
2002-09-01,15.7663888
2002-09-05,4.61777777
2002-09-08,3.15916666
2002-09-09,3.91083333
2002-09-16,2.53833333
2002-09-17,6.1225
2002-09-23,4.36694444
2002-09-24,0.84722222
2002-09-25,1.41777777
2002-09-27,2.25416666
2002-09-28,9.93083333
2002-09-30,2.17833333
2002-10-01,2.6725
2002-10-04,0.73666666
2002-10-05,5.10638888
2002-10-06,6.51027777
2002-10-07,10.5869444
2002-11-04,0.73666666
2002-11-13,1.7125
2002-11-14,2.83333333
2002-11-15,1.87
2002-11-16,2.73111111
2002-11-17,1.68361111
2002-11-18,0.90666666
2002-11-21,1.45666666
2002-11-22,3.785
2002-11-24,7.70111111
2002-11-25,1.34222222
2002-11-26,1.58638888
2002-11-27,1.81333333
2003-02-09,9.93111111
2003-02-10,3.97222222
2003-02-11,2.65055555
2003-02-14,2.72833333
2003-02-15,1.68916666
2003-02-18,6.95527777
2003-02-19,5.48194444
2003-02-21,3.75388888
2003-02-23,3.99583333
2003-02-26,2.02527777
2003-02-27,12.2725
2003-03-03,5.40861111
2003-03-04,3.65416666
2003-03-06,7.01722222
2003-03-08,8.21916666
2003-03-09,3.22972222
2003-03-14,8.29277777
2003-03-16,4.96166666
2003-03-17,1.575
2003-03-18,12.3344444
2003-03-19,10.9383333
2003-03-29,2.58833333
2003-03-30,5.62138888
2003-03-31,4.90555555
2003-04-02,3.60916666
2003-04-03,6.81277777
2003-04-04,15.9544444
2003-04-05,9.21
2003-04-06,16.2947222
2003-04-07,6.18388888
2003-04-20,9.82222222
2003-04-25,6.04611111
2003-04-26,7.53527777
2003-04-30,0.02722222
2003-05-01,5.82805555
2003-05-02,8.45
2003-05-03,0.17083333
2003-05-05,4.07972222
2003-05-13,0.16555555
2003-05-14,2.85527777
2003-05-15,3.51555555
2003-05-20,1.26527777
2003-05-26,4.47666666
2003-05-27,6.04944444
2003-05-29,0.175
2003-05-31,9.40638888
2003-06-01,6.65722222
2003-06-14,1.87305555
2003-06-22,1.33555555
2003-06-23,0.07277777
2003-06-30,0.12694444
2003-07-01,1.63055555
2003-07-02,0.16388888
2003-07-03,5.19027777
2003-07-04,8.60472222
2003-07-05,10.2525
2003-07-06,6.48
2003-07-07,1.17472222
2003-07-08,9.32444444
2003-07-09,9.48694444
2003-07-10,9.74277777
2003-07-11,1.33472222
2003-07-12,11.5661111
2003-07-13,11.9791666
2003-07-14,11.5786111
2003-07-15,10.6544444
2003-07-16,9.61472222
2003-07-18,1.91777777
2003-07-19,9.90111111
2003-07-22,8.48333333
2003-07-23,9.09583333
2003-07-24,8.5825
2003-07-25,14.84
2003-07-26,19.1908333
2003-07-27,17.0936111
2003-07-28,10.4502777
2003-07-29,9.18
2003-08-01,11.5816666
2003-08-02,17.3744444
2003-08-03,5.5275
2003-08-04,7.97972222
2003-08-05,8.25888888
2003-08-06,0.35944444
2003-08-07,9.87055555
2003-08-08,18.1666666
2003-08-09,18.4072222
2003-08-10,17.1244444
2003-08-11,2.17166666
2003-08-12,3.60888888
2003-08-13,4.5
2003-08-14,1.85472222
2003-08-17,3.20722222
2003-08-18,2.96138888
2003-08-19,7.5075
2003-08-20,0.035
2003-08-21,9.31888888
2003-08-22,12.3552777
2003-08-23,15.9397222
2003-08-24,2.46583333
2003-08-25,7.94111111
2003-08-26,9.74111111
2003-08-27,0.39333333
2003-08-28,13.4277777
2003-08-29,17.9655555
2003-08-30,19.0916666
2003-08-31,15.1308333
2003-09-01,12.9463888
2003-09-02,9.62555555
2003-09-03,8.10527777
2003-09-04,7.71972222
2003-09-05,3.43472222
2003-09-07,13.2788888
2003-09-08,9.64583333
2003-09-09,10.6847222
2003-09-10,4.38916666
2003-09-11,5.24222222
2003-09-13,15.3702777
2003-09-14,17.6041666
2003-09-15,8.27916666
2003-09-16,8.37555555
2003-09-17,9.03694444
2003-09-18,8.10111111
2003-09-19,14.9302777
2003-09-20,11.9830555
2003-09-21,7.31083333
2003-09-22,7.13222222
2003-09-23,5.62527777
