Date,Time
2002-11-24,0.24638888
2003-02-18,0.07222222
2003-02-22,0.09666666
2003-02-23,0.48805555
2003-02-24,1.31833333
2003-03-04,0.67861111
2003-03-05,3.41611111
2003-03-06,0.40194444
2003-03-07,16.7527777
2003-03-08,5.84222222
2003-03-09,4.53861111
2003-03-10,7.93833333
2003-03-14,4.31805555
2003-03-15,10.715
2003-03-16,9.10166666
2003-03-17,8.70944444
2003-03-21,1.22361111
2003-03-22,12.4952777
2003-03-23,6.76111111
2003-03-30,1.64194444
2003-03-31,1.72972222
2003-04-01,3.20944444
2003-04-11,0.18027777
2003-04-12,5.365
2003-04-13,13.24
2003-04-14,6.05027777
2003-04-15,5.99888888
2003-04-17,1.62666666
2003-04-19,3.49777777
2003-04-20,0.98194444
2003-04-24,3.3925
2003-04-26,3.11166666
2003-04-27,14.4336111
2003-04-28,8.43222222
2003-04-29,3.82888888
2003-04-30,4.04055555
2003-05-01,2.31138888
2003-05-03,5.8925
2003-05-04,6.83027777
2003-05-05,0.16888888
2003-05-06,1.58027777
2003-05-07,7.87555555
2003-05-09,2.28166666
2003-05-14,2.43138888
2003-05-16,4.59166666
2003-05-17,10.1827777
2003-05-18,9.51833333
2003-05-19,3.49583333
2003-05-20,3.53277777
2003-05-21,4.29611111
2003-05-22,3.95666666
2003-05-23,4.49638888
2003-06-02,4.99777777
2003-06-03,5.63666666
2003-06-04,12.3513888
2003-06-05,3.75166666
2003-06-06,2.01888888
2003-06-07,5.22194444
2003-06-08,4.76694444
2003-06-09,5.6125
2003-06-10,6.01916666
2003-06-11,7.28611111
2003-06-12,9.78416666
2003-06-13,11.7208333
2003-06-14,11.1755555
2003-06-15,21.0461111
2003-06-16,9.78055555
2003-06-17,0.07111111
2003-06-20,0.10111111
2003-06-23,4.50333333
2003-06-24,5.8875
2003-06-25,1.02138888
2003-06-26,0.09805555
2003-06-27,4.65888888
2003-06-28,11.7541666
2003-06-29,18.3758333
2003-06-30,0.46944444
2003-07-05,2.58305555
2003-08-15,11.2275
2003-08-16,2.69305555
2003-08-17,9.86416666
2003-08-18,2.29111111
2003-10-07,3.54694444
2003-10-20,3.10805555
2003-10-21,0.645
2003-10-22,3.70833333
2003-10-23,8.99916666
2003-10-24,10.1094444
2003-10-25,13.615
2003-10-26,1.26972222
2003-10-30,15.1097222
2003-10-31,5.73333333
2003-11-01,4.30833333
2003-11-02,8.02527777
2003-11-03,14.8555555
2003-11-04,3.92083333
2003-11-05,0.14861111
2003-11-07,0.28027777
2003-11-08,17.3380555
2003-11-09,4.71055555
2003-11-10,7.43833333
2003-11-14,2.77194444
2003-11-15,4.4425
2003-11-16,6.36111111
2003-11-17,2.19361111
2003-11-18,6.35777777
2003-11-22,0.03
2003-12-04,4.51194444
2003-12-06,0.02111111
2003-12-07,9.41416666
2003-12-08,5.02305555
2003-12-09,1.06
2003-12-10,9.465
2003-12-12,1.03944444
2003-12-13,14.9313888
2003-12-14,10.4327777
2003-12-15,7.22833333
