Date,Time
2010-07-21,1.55
2010-07-22,0.96
2010-07-26,4.38444444
2010-08-19,5.85444444
2010-08-24,5.11833333
2010-09-10,2.38611111
2010-09-11,5.35472222
2010-09-12,7.98944444
2010-09-19,0.92694444
2010-09-21,4.84722222
2011-02-23,2.34722222
2011-02-28,3.14277777
2011-03-16,2.3325
2011-03-22,6.02388888
2011-03-23,2.92277777
2011-04-09,6.75861111
2011-04-11,2.52055555
2011-04-12,6.36138888
2011-04-13,6.06861111
2011-04-14,2.6675
2011-04-16,3.78111111
2011-04-17,6.1625
2011-04-18,2.88527777
2011-04-22,4.01388888
2011-04-24,6.43666666
2011-04-25,6.30444444
2011-04-26,7.28361111
2011-04-27,7.12888888
2011-05-11,0.025
2011-05-12,4.21416666
2011-05-13,3.50888888
2011-05-14,7.29944444
2011-05-17,4.60027777
2011-05-23,5.30638888
2011-05-27,3.94611111
2011-06-01,4.38555555
2011-06-26,2.19444444
2011-06-27,3.99333333
2011-07-26,5.10972222
2011-08-04,0.22277777
2011-08-05,0.09916666
2011-08-06,5.1475
2011-08-11,3.07722222
2011-08-12,4.93666666
2011-08-14,2.12472222
2011-08-15,4.89861111
2011-08-18,2.72944444
2011-08-20,3.67777777
2011-08-22,4.4425
2011-08-23,4.53833333
2011-08-28,4.46305555
2011-09-02,2.08583333
2011-09-03,3.335
2011-09-04,4.75611111
2011-09-05,4.22083333
2011-10-04,5.01527777
2011-10-19,6.43277777
2011-10-20,7.07222222
2012-05-10,1.31194444
2012-05-11,2.9775
2012-05-12,0.91
2012-05-13,3.27666666
2012-05-14,2.53527777
2012-05-16,1.34805555
2012-05-17,3.79777777
2012-05-18,2.88166666
2012-05-19,1.11916666
2012-05-20,2.87583333
2012-05-23,2.33777777
2012-05-24,2.5825
2012-06-16,2.7225
2012-06-17,1.37888888
2012-06-21,2.2975
2012-06-22,0.98055555
2012-07-20,1.93611111
2012-07-21,0.96527777
2013-09-21,1.31611111
2013-10-03,0.64222222
2013-11-20,0.02555555
2013-11-21,3.14583333
2013-11-23,3.2575
2013-11-27,4.84777777
2013-12-01,3.415
2013-12-04,2.77861111
2013-12-05,0.47972222
2013-12-06,6.665
2013-12-07,7.835
