Date,Time
2003-09-01,11.4430555
2003-09-02,9.75055555
2003-09-03,8.10527777
2003-09-07,13.2897222
2003-09-08,9.02083333
2003-09-09,0.00666666
2003-09-10,6.65388888
2003-09-11,5.3825
2003-09-13,7.61583333
2003-09-14,10.8347222
2003-09-15,8.4
2003-09-16,8.435
2003-09-17,9.22277777
2003-09-19,14.9302777
2003-09-20,11.9830555
2003-09-21,7.35527777
2003-09-22,7.14111111
2003-09-23,5.62972222
2003-09-26,7.92166666
2004-07-06,5.13527777
2004-07-07,2.51444444
2004-07-08,2.6925
2004-07-09,2.78138888
2004-07-10,8.86777777
2004-07-11,0.89861111
2004-07-12,5.58416666
2004-07-13,6.5175
2005-02-21,5.97944444
2005-02-22,7.11611111
2005-02-24,0.40722222
2005-04-27,2.67277777
2005-04-28,1.21388888
2005-04-29,8.05333333
2005-04-30,12.9194444
2005-05-01,9.34444444
2005-05-02,2.30583333
2005-05-04,2.21055555
2005-05-06,6.13416666
2005-05-07,5.90416666
2005-05-08,6.21527777
2005-05-10,4.98722222
2005-05-14,5.37111111
2005-05-20,7.11527777
2005-05-23,2.96722222
2005-05-24,2.43638888
2005-05-25,7.20555555
2005-05-26,2.31194444
2005-07-22,6.07722222
2005-07-23,6.41972222
2005-12-15,2.06944444
2005-12-18,6.14055555
2005-12-19,5.41666666
2005-12-20,0.8575
2005-12-23,2.05805555
2006-01-17,6.76333333
2006-01-20,6.09777777
2006-01-21,7.74333333
2006-01-22,3.36361111
2006-01-23,0.80027777
2006-01-24,5.64416666
2006-01-25,8.98611111
2006-01-26,5.56416666
2006-01-28,11.53
2006-02-04,2.35305555
2006-02-07,2.43833333
2006-02-21,1.9275
2006-03-02,1.91694444
2006-03-21,6.28805555
2006-03-22,8.30638888
2006-03-24,5.05305555
2006-03-28,4.67916666
2006-03-29,6.43222222
2006-03-31,4.47638888
2006-04-16,4.4875
2006-04-18,1.64833333
2006-04-22,6.32916666
2006-04-23,4.85527777
2006-04-25,1.03055555
2006-04-27,4.29694444
2006-05-11,5.15027777
2006-07-01,6.8675
2006-07-02,5.36416666
2006-07-03,5.35055555
2006-07-04,3.56222222
2006-07-05,7.05305555
2006-07-07,3.65472222
2006-07-13,7.4825
2006-07-14,6.1675
2006-07-15,1.11472222
2006-08-07,1.61527777
2006-08-12,3.76916666
2006-08-13,4.59805555
2006-12-17,1.6475
2006-12-18,3.68055555
2006-12-22,1.91388888
2006-12-23,0.7975
2006-12-24,4.12972222
2006-12-29,0.23388888
2006-12-30,2.64527777
2007-02-28,2.01972222
2007-04-05,3.15361111
2008-10-02,1.47555555
2008-10-07,3.26055555
2008-10-11,3.70305555
2008-10-13,4.64861111
2008-10-23,2.31277777
2009-03-07,2.70916666
2009-03-08,2.17611111
2009-11-28,4.70333333
2013-04-28,4.08805555
2013-05-05,2.63722222
2013-05-06,5.18333333
2013-05-08,2.64888888
2013-05-11,2.10083333
2013-05-14,1.49166666
2013-05-17,1.785
2013-08-29,0.36111111
2013-08-30,5.92694444
2013-08-31,2.07972222
2013-09-01,4.745
