Date,Time
2005-05-21,4.97
2005-05-22,6.35111111
2005-05-23,12.7691666
2005-05-24,3.02277777
2005-05-25,6.41333333
2005-05-26,2.65861111
2005-05-27,9.40583333
2005-05-28,7.3375
2005-08-30,7.40944444
2008-03-04,1.0325
2008-03-07,1.00805555
2008-03-09,3.49722222
2008-03-14,4.13972222
2008-04-27,3.46833333
2008-11-20,1.82805555
2008-11-21,0.71111111
2008-11-23,0.675
2008-11-24,0.89666666
2009-06-11,1.26611111
2009-06-16,2.87277777
2009-06-28,2.07194444
2009-07-16,3.67305555
2009-07-20,0.6925
2009-07-21,3.2975
2009-08-10,1.37666666
2009-08-11,3.95555555
2009-08-19,3.04777777
2009-08-26,1.7375
2009-08-29,2.65111111
2009-09-10,4.61083333
2009-09-12,1.47805555
2009-09-15,1.38555555
2009-09-30,1.89777777
2009-10-01,1.20583333
2009-12-17,5.26027777
2011-03-20,1.57027777
2011-03-21,2.79638888
2011-03-22,1.60222222
2011-04-11,9.12944444
2011-04-13,5.78916666
2011-04-14,1.28138888
2011-04-25,1.76361111
2011-04-26,2.20972222
2011-04-27,0.56138888
2011-04-29,0.53527777
2011-05-04,1.2675
2011-05-06,1.95333333
2011-05-19,2.83916666
2011-05-20,1.16777777
2011-05-22,1.67305555
2011-05-28,6.13861111
2011-05-29,3.00388888
2011-06-05,3.34611111
2011-07-09,1.6675
2011-07-22,1.10888888
2011-07-23,1.62611111
2011-07-24,2.47444444
2011-08-02,4.67805555
2011-08-07,0.99833333
2011-08-10,1.05944444
2011-08-11,0.62166666
2011-09-02,1.565
2011-09-03,6.46055555
2012-03-03,4.67027777
2012-03-04,4.89638888
2012-03-15,1.66666666
2012-03-16,3.43388888
2012-03-20,8.78388888
2012-03-21,1.21277777
2012-03-23,4.26361111
2012-03-24,0.01555555
2012-03-29,12.0030555
2012-03-30,3.13138888
2012-04-05,3.88555555
2012-04-09,2.84277777
2012-04-16,1.12305555
2012-04-17,2.88305555
2012-04-21,1.26111111
