Date,Time
2004-09-26,4.7775
2004-09-29,6.70027777
2004-09-30,8.95611111
2004-10-01,19.3941666
2004-10-02,4.8125
2004-10-04,0.74361111
2004-10-05,9.15555555
2005-03-11,7.35444444
2005-03-12,4.12027777
2005-03-16,11.0630555
2005-03-17,4.11111111
2005-03-18,2.07888888
2005-03-23,1.04138888
2005-03-24,2.23166666
2005-03-25,4.10805555
2005-03-28,11.8547222
2005-03-29,4.61111111
2005-04-01,2.55194444
2005-04-02,13.4841666
2005-05-29,1.46361111
2005-05-31,1.52305555
2005-06-01,3.12055555
2005-06-02,10.4147222
2005-06-03,6.61805555
2005-06-04,6.19305555
2005-06-05,5.07194444
2005-06-08,1.84166666
2005-06-09,10.2161111
2005-06-11,7.77861111
2005-06-12,4.2725
2005-06-13,5.34472222
2005-07-02,8.18305555
2005-07-04,8.9225
2005-07-07,6.47111111
2005-07-08,1.93361111
2005-07-09,9.75777777
2005-07-10,14.9811111
2005-07-29,2.43444444
2005-07-30,1.50611111
2005-07-31,10.0266666
2005-08-03,5.79777777
2005-08-04,4.69722222
2005-08-05,3.575
2005-08-06,14.76
2005-08-07,13.2088888
2005-08-08,10.2719444
2005-08-09,4.10861111
2005-08-12,6.56722222
2005-08-16,4.00472222
2005-08-17,2.71861111
2005-08-18,3.23194444
2005-08-19,6.44805555
2005-08-24,2.23444444
2005-08-25,8.34916666
2005-08-26,5.10333333
2005-08-28,2.55444444
2005-08-29,7.11888888
2005-08-30,3.87166666
2005-08-31,10.55
2005-09-01,6.51055555
2005-09-04,4.12
2005-09-17,11.2563888
2005-09-18,3.39805555
2005-09-19,10.3655555
2005-09-21,5.18222222
2005-09-22,3.22027777
2005-09-24,13.8191666
2005-10-08,2.51666666
2005-10-09,4.17555555
2005-10-10,5.22472222
2005-10-11,5.16138888
2005-10-12,1.74972222
2005-10-13,2.675
2005-10-22,1.28777777
2005-10-23,1.33138888
2005-10-24,1.43611111
2005-10-25,1.52527777
2005-10-26,0.47
2005-10-27,1.1725
2005-10-28,1.16055555
2005-10-29,1.30305555
2005-10-30,1.18416666
2005-10-31,1.3025
2005-11-01,1.26722222
2005-11-02,5.51805555
2005-11-03,1.07638888
2005-11-05,1.10805555
2005-11-07,1.17972222
2005-11-08,1.23444444
2005-11-09,2.57805555
2005-11-10,2.08166666
2005-11-11,1.00944444
2005-11-16,4.31555555
2005-11-23,2.62416666
2005-11-26,1.99472222
2005-11-27,4.46694444
2005-12-23,1.42138888
2005-12-24,2.91361111
2005-12-26,2.66138888
2006-01-02,6.55333333
2006-01-06,2.94861111
2006-01-08,2.0725
2006-01-09,0.87777777
2006-05-08,5.76305555
2006-05-14,0.78055555
2006-05-15,4.825
2006-05-18,1.29361111
2006-05-19,5.6425
2006-05-27,1.31166666
2006-05-29,4.15416666
2006-05-31,1.27138888
2006-06-01,3.12
2006-06-02,2.09666666
2006-06-06,3.01833333
2006-06-07,2.01138888
2006-06-19,1.34805555
2006-06-26,1.74583333
2006-06-28,1.92527777
2006-06-29,1.87777777
2006-07-21,3.17
2006-07-22,6.67083333
2006-07-23,3.13388888
2006-07-24,1.78583333
2006-07-25,1.76333333
2006-07-26,3.55
2006-07-27,5.36972222
2006-07-28,2.42444444
2006-07-29,2.64611111
2006-07-30,2.68416666
2006-08-20,2.18972222
2006-08-26,7.88361111
2006-08-28,1.79805555
2006-08-29,3.73638888
2006-08-31,0.47916666
2006-09-01,8.99888888
2006-09-02,4.31027777
2006-09-03,4.18138888
2006-09-04,4.64777777
2006-09-07,4.70527777
2006-09-08,3.06527777
2006-09-13,2.36583333
2006-09-15,2.3925
2006-09-24,4.62833333
2006-09-25,3.65333333
2006-09-30,2.51722222
2006-10-11,1.34
2006-10-16,1.5475
2006-10-17,0.225
2006-10-18,1.36527777
2006-10-19,1.3875
2006-10-20,0.96111111
2006-10-21,6.55944444
2006-10-22,1.74138888
2006-10-31,2.08694444
2006-11-09,4.04888888
2006-11-28,0.97
2006-11-30,1.74944444
2006-12-09,1.74888888
2006-12-10,0.74722222
2006-12-14,1.79388888
2006-12-16,1.79444444
2007-01-01,4.85472222
2007-01-02,4.36583333
2007-01-04,1.40138888
2007-01-05,6.7975
2007-01-06,1.50194444
2007-01-07,1.39555555
2007-01-08,1.41027777
2007-04-06,3.65694444
2007-04-28,2.21888888
2007-09-08,1.58333333
2007-09-09,1.45166666
2007-09-10,1.39472222
2007-09-11,1.66916666
2007-09-12,1.62055555
2007-11-11,2.93027777
2007-11-12,3.32527777
2007-11-15,2.615
2007-11-27,3.8475
2007-12-17,1.81388888
2007-12-18,3.60527777
2008-01-13,2.38305555
2008-02-06,4.22805555
2008-05-17,3.52805555
2008-06-07,4.47138888
2008-06-11,1.93138888
2008-06-15,1.46444444
2008-06-27,1.64555555
2008-07-04,4.61694444
2008-07-05,5.26916666
2008-07-09,1.575
2008-08-02,0.88638888
2008-08-06,1.24833333
2008-08-07,1.25194444
2008-08-08,2.37166666
2008-08-09,1.2375
2008-08-15,1.30027777
2008-08-17,1.16083333
2008-08-27,3.98583333
2008-08-28,2.06083333
2008-09-04,1.37694444
2008-09-08,1.29666666
2008-12-12,5.52916666
2008-12-21,2.02861111
2008-12-24,0.18527777
2008-12-27,1.14805555
2008-12-28,2.98472222
2009-02-19,2.47472222
2009-03-28,1.50527777
2009-04-25,1.64333333
2009-04-29,3.37388888
2009-05-13,2.25111111
2009-05-14,2.4675
2009-06-07,2.42166666
2009-06-09,2.52833333
2009-06-12,2.34444444
2009-06-13,3.64388888
2009-06-14,1.92194444
2009-06-29,2.28527777
2009-06-30,3.15388888
2009-07-01,3.07027777
2009-07-25,1.35277777
2009-08-25,4.72277777
2009-09-02,2.82833333
2009-09-05,2.17111111
2009-10-02,1.44277777
2009-10-03,2.10722222
2009-10-06,2.40527777
2009-10-07,3.40916666
2009-10-08,0.2175
2009-10-09,2.31111111
2009-10-10,0.79333333
2009-10-11,8.42138888
2010-09-05,9.69694444
2010-09-06,2.82722222
2010-09-07,9.66083333
2010-09-08,4.50444444
2010-09-09,2.7425
2010-09-23,3.0425
2010-09-24,3.99027777
2010-09-26,8.96111111
2010-09-27,6.46666666
2010-10-11,3.87361111
2010-10-14,9.50277777
2010-10-15,7.28138888
2010-10-16,2.86416666
2010-10-17,6.83611111
2010-10-18,5.86166666
2010-10-24,3.4975
2010-10-26,12.175
2010-10-27,10.6297222
2010-10-28,10.6530555
2010-10-29,3.99
2010-10-30,1.36305555
2010-10-31,2.245
2010-11-04,3.67222222
2010-11-05,2.57916666
2010-11-06,2.69666666
2010-11-08,1.65083333
2010-11-09,0.9975
2010-11-13,0.71388888
2010-11-14,2.46777777
2010-11-18,0.11833333
2010-11-19,6.07861111
2010-11-21,4.07361111
2010-11-27,5.26694444
2010-11-28,2.245
2010-11-30,8.10027777
2010-12-01,3.74138888
2010-12-03,3.45388888
2010-12-05,3.82555555
2010-12-08,3.7125
2010-12-12,3.76472222
2010-12-14,10.3586111
2010-12-15,3.80361111
2010-12-16,0.515
2010-12-17,3.24222222
2010-12-22,1.13277777
2010-12-23,6.34055555
2010-12-28,3.91666666
2010-12-30,2.24805555
2010-12-31,8.16111111
2011-01-02,0.88194444
2011-01-08,3.87194444
2011-01-12,2.45305555
2011-01-13,18.5447222
2011-01-15,4.02527777
2011-01-16,11.9852777
2011-01-18,2.87277777
2011-01-23,3.04222222
2011-01-24,5.57888888
2011-02-02,2.35111111
2011-04-16,2.03472222
2011-06-08,2.32888888
2011-06-09,2.28222222
2011-09-06,3.25138888
2011-09-12,3.64944444
2011-09-14,4.36944444
2011-09-23,0.04361111
2011-09-26,6.37388888
2011-09-30,7.05916666
2011-10-03,6.89527777
2011-10-04,6.97083333
2011-10-16,1.78388888
2011-10-18,1.005
2011-10-19,8.25472222
2011-10-24,4.71
2011-12-04,2.3
2012-01-09,1.51861111
2012-01-10,7.95527777
2012-02-20,5.93333333
2012-03-18,8.30861111
2012-03-19,1.99666666
2012-03-24,5.00388888
2012-03-25,3.99416666
2012-05-13,3.00722222
2012-09-18,2.38777777
2012-09-19,0.99722222
2012-09-22,1.88777777
2012-09-23,3.99527777
2012-09-27,3.69722222
2012-10-02,17.615
2012-10-03,5.36555555
2012-10-07,2.17333333
2012-10-27,7.53888888
2012-10-28,6.82416666
2012-11-12,3.48333333
2012-11-13,3.24666666
2012-11-20,4.38611111
2012-11-21,7.46194444
2012-12-03,10.1986111
