Date,Time
2012-07-20,1.14055555
2012-07-21,5.95361111
2012-07-22,3.09555555
2012-07-27,1.44333333
2012-07-28,3.74305555
2012-07-29,1.13611111
2012-08-25,2.36694444
2012-08-31,3.33861111
2012-09-03,4.83222222
2012-09-21,3.05861111
2012-09-22,0.36777777
2012-09-27,1.01722222
2012-10-25,1.25861111
2012-10-29,0.52555555
2013-02-04,5.49833333
2013-02-11,5.78777777
2013-02-12,2.27
2013-02-13,8.45555555
2013-02-14,2.26972222
2013-02-16,2.61833333
2013-02-18,4.21222222
2013-02-19,4.765
2013-02-20,5.17083333
2013-02-23,3.52861111
2013-02-26,1.13611111
2013-02-27,10.6941666
2013-02-28,2.34277777
2013-03-01,4.68222222
2013-03-03,5.1625
2013-03-11,11.8611111
2013-03-12,1.59444444
2013-03-18,2.47916666
2013-03-19,2.01888888
2013-03-20,1.11555555
2013-03-21,0.92583333
2013-03-22,6.405
2013-03-26,0.55861111
2013-03-27,1.42055555
2013-04-03,0.99638888
2013-04-04,2.23388888
2013-04-10,5.98833333
2013-04-11,11.1263888
2013-04-12,8.01722222
2013-04-16,8.09805555
2013-04-17,5.21527777
2013-04-18,6.87416666
2013-05-11,2.59666666
2013-05-12,2.66194444
2013-05-13,2.77194444
2013-05-14,4.41
2013-05-15,6.98416666
2013-05-16,3.53138888
2013-05-17,2.65083333
2013-05-22,1.68472222
2013-06-28,2.49277777
2013-06-30,6.01944444
2013-07-01,0.41555555
