Date,Time
2003-03-27,2.97305555
2003-03-28,8.17222222
2003-04-11,0.13611111
2003-04-12,7.74944444
2003-04-16,5.99722222
2003-04-19,5.88222222
2003-05-03,7.36805555
2003-05-04,6.55361111
2003-05-19,2.06722222
2003-05-20,0.56305555
2003-05-25,7.95972222
2003-06-01,2.5425
2003-06-02,5.64166666
2003-06-20,1.77694444
2003-06-21,10.3702777
2003-06-22,7.35111111
2003-07-30,2.44527777
2003-07-31,7.18083333
2003-08-01,4.83972222
2003-08-31,4.35611111
2003-09-01,4.53444444
2003-09-06,7.2325
2003-09-07,3.03027777
2003-10-04,8.42527777
2003-10-05,8.59027777
2003-11-02,4.55805555
2003-11-29,2.585
2003-12-29,6.82916666
2004-03-08,4.73916666
2004-03-20,9.36111111
2004-03-21,3.71444444
2004-04-04,1.20694444
2004-04-05,5.15722222
2004-04-26,0.54194444
2004-04-27,2.59416666
2004-05-16,5.45444444
2004-06-06,5.97305555
2004-06-07,5.2175
2004-06-09,3.83027777
2004-06-10,9.20444444
2004-06-13,2.09111111
2004-06-27,3.91194444
2004-06-28,3.14416666
2004-09-05,2.67833333
2004-11-22,5.43305555
2004-11-23,4.14388888
2004-11-26,7.56138888
2004-11-27,6.545
2004-11-28,9.44833333
2004-11-29,2.67333333
2004-12-23,2.89527777
2004-12-24,12.4352777
2004-12-26,8.31888888
2004-12-27,10.1369444
2004-12-30,6.4075
2005-01-05,1.65888888
2005-01-06,2.22916666
2005-01-10,5.4675
2005-02-06,2.59444444
2005-02-07,4.54583333
2005-02-13,5.15166666
2005-02-25,6.33833333
2005-02-26,1.1175
2005-02-27,8.99194444
2005-03-04,5.52777777
2005-03-26,5.37611111
2005-03-27,16.7297222
2005-03-28,1.65333333
2005-04-22,0.52027777
2005-04-23,9.4575
2005-04-24,10.9272222
2005-04-25,13.1336111
2005-04-26,0.00166666
2005-04-30,4.52805555
2005-05-01,9.49361111
2005-05-02,3.09944444
2005-05-07,1.48444444
2005-05-08,7.16111111
2005-06-04,6.93222222
2005-06-07,8.55694444
2005-06-10,4.84472222
2005-06-11,6.59972222
2005-06-12,8.97527777
2005-06-13,1.71055555
2005-07-03,3.28138888
2005-07-17,4.03027777
2005-07-18,1.7525
2005-07-22,4.14055555
2005-07-24,1.51416666
2005-07-29,2.25027777
2005-08-05,7.29194444
2005-08-19,5.7325
2005-08-20,0.76055555
2005-08-21,13.8758333
2005-08-22,1.84166666
2005-08-28,3.88777777
2005-09-04,1.78833333
2005-09-09,3.56555555
2005-10-22,10.5855555
2005-10-24,2.04666666
2005-10-25,8.22833333
2005-10-30,3.94305555
2005-10-31,6.71111111
2005-11-01,2.93583333
2005-11-03,13.1897222
2005-11-06,11.7269444
2005-11-08,0.34583333
2005-11-12,5.71555555
2005-11-23,7.15638888
2005-11-25,5.46861111
2005-11-26,2.81888888
2005-12-09,2.55
2005-12-10,0.00166666
2005-12-12,5.98555555
2005-12-27,8.20472222
2005-12-29,8.35611111
2005-12-30,10.3786111
2005-12-31,10.2338888
2006-01-02,7.00111111
2006-01-07,6.42944444
2006-01-09,2.76861111
2006-01-10,3.35055555
2006-01-30,2.07
2006-02-17,8.15194444
2006-03-03,12.4386111
2006-03-16,4.47166666
2006-03-26,9.92027777
2006-04-23,5.07277777
2006-04-24,6.16916666
2006-04-29,4.00861111
2006-04-30,15.4988888
2006-05-24,3.81083333
2006-05-27,9.9475
2006-06-03,4.12444444
2006-06-04,3.97
2006-06-06,5.26083333
2006-06-07,6.7525
2006-06-16,6.55694444
2006-06-17,7.31888888
2006-06-18,3.97444444
2006-06-24,1.22166666
2006-06-25,2.08111111
2006-07-15,3.34222222
2006-07-16,0.71916666
2006-07-30,3.93166666
2006-07-31,0.36888888
2006-08-06,3.34138888
2006-08-07,0.00111111
2006-08-13,6.19194444
2006-08-29,1.13138888
2006-08-30,2.23027777
2006-09-16,3.97472222
2006-09-30,3.82777777
2006-10-30,4.34861111
2006-11-02,6.61611111
2006-11-28,9.38111111
2006-12-03,6.77722222
2006-12-04,8.81611111
2006-12-09,3.36027777
2006-12-10,11.3636111
2006-12-11,13.8525
2006-12-21,7.455
2006-12-22,2.92194444
2006-12-23,5.61416666
2006-12-27,5.77972222
2006-12-28,8.89888888
2006-12-29,5.865
2006-12-30,5.74805555
2007-01-24,6.79805555
2007-01-28,7.975
2007-01-31,6.80666666
2007-02-01,6.8825
2007-02-04,7.73638888
2007-02-10,2.60527777
2007-02-11,4.51555555
2007-02-13,7.74444444
2007-02-23,1.3325
2007-03-09,1.37166666
2007-03-10,6.66583333
2007-03-14,7.26333333
2007-03-15,2.29666666
2007-03-30,1.47277777
2007-04-01,4.33083333
2007-04-07,6.58
2007-04-08,6.70416666
2007-04-09,6.68638888
2007-04-29,6.97
2007-10-04,3.09972222
2007-10-05,3.19
2007-10-08,5.43638888
2007-10-19,12.0088888
2007-10-20,8.57194444
2007-10-23,5.81666666
2007-10-24,5.81444444
2007-10-28,6.07583333
2007-10-30,6.05111111
2007-11-03,7.19166666
2007-11-04,14.7352777
2007-11-05,1.18972222
2007-11-06,4.42444444
2007-11-08,6.04638888
2007-11-13,1.595
2007-11-14,7.72305555
2007-11-19,5.39722222
2007-11-24,3.44138888
2007-11-25,2.49666666
2007-12-01,5.44083333
2007-12-02,5.805
2007-12-03,3.56583333
2007-12-07,8.47305555
2007-12-08,5.99583333
2007-12-21,2.59666666
2007-12-22,4.10444444
2007-12-29,3.19861111
2007-12-30,2.17638888
2008-01-07,4.185
2008-01-08,2.5375
2008-01-15,3.76333333
2008-01-16,9.45027777
2008-01-17,1.84805555
2008-01-21,3.13138888
2008-01-22,3.72555555
2008-01-25,5.44944444
2008-01-31,0.31861111
2008-02-01,3.47611111
2008-02-03,4.43861111
2008-02-04,0.33972222
2008-02-07,5.9675
2008-02-10,1.14611111
2008-02-11,0.39
2008-02-14,4.89083333
2008-02-19,4.04361111
2008-02-20,1.89916666
2008-02-28,6.33472222
2008-03-02,0.03611111
2008-03-03,5.95638888
2008-03-17,6.28555555
2008-03-21,6.28388888
2008-03-23,2.10472222
2008-03-26,6.43027777
2008-03-30,11.3619444
2008-04-06,7.93166666
2008-04-07,8.45833333
2008-04-10,5.33611111
2008-04-13,6.01111111
2008-04-14,6.08722222
2008-04-15,6.65944444
2008-04-16,6.44194444
2008-04-19,9.03055555
2008-04-20,4.63472222
2008-04-21,6.79388888
2008-04-22,3.32166666
2008-04-23,5.84888888
2008-04-28,6.17527777
2008-04-29,0.12055555
2008-04-30,5.40222222
2008-05-03,2.74916666
2008-05-04,5.76555555
2008-05-05,6.14666666
2008-05-15,0.95138888
2008-05-16,4.89
2008-05-17,8.17666666
2008-05-18,11.5386111
2008-05-19,1.33361111
2008-05-23,6.62194444
2008-05-24,4.55972222
2008-05-25,1.76111111
2008-05-30,6.24888888
2008-06-01,8.63722222
2008-06-14,4.04388888
2008-06-15,4.14861111
2008-06-16,7.22694444
2008-06-19,9.74361111
2008-06-20,17.7388888
2008-06-21,1.63833333
2008-06-22,3.95611111
2008-06-28,6.21583333
2008-07-03,6.60111111
2008-07-04,9.32111111
2008-07-08,6.05111111
2008-07-12,9.40055555
2008-07-15,6.3075
2008-07-19,7.04416666
2008-07-20,3.54861111
2008-07-21,5.63527777
2008-07-24,6.21555555
2008-07-27,9.31916666
2008-08-01,6.35083333
2008-08-03,5.97
2008-08-08,4.80416666
2008-08-09,0.68666666
2008-08-11,0.9475
2008-08-12,4.25916666
2008-08-16,6.19777777
2008-08-17,9.45166666
2008-08-18,5.57138888
2008-08-23,6.75361111
2008-08-29,1.05027777
2008-08-30,4.31
2008-08-31,6.13083333
2008-09-03,5.84472222
2008-09-08,3.29333333
2008-09-09,2.99
2008-09-11,0.88361111
2008-09-12,5.28138888
2008-09-17,3.14777777
2008-09-18,2.72361111
2008-09-29,8.44527777
2008-10-03,6.34138888
2008-10-04,2.23416666
2008-10-05,4.40222222
2008-10-07,4.14861111
2008-10-08,0.38638888
2008-10-14,0.21694444
2008-10-15,1.80722222
2008-10-16,5.86166666
2008-10-17,5.21611111
2008-10-18,7.20972222
2008-10-19,10.6897222
2008-10-21,6.41166666
2008-10-25,2.29583333
2008-10-26,10.7136111
2008-10-27,4.67194444
2008-10-28,1.48805555
2008-11-03,5.65333333
2008-11-05,6.28027777
2008-11-09,0.73111111
2008-11-10,5.90722222
2008-11-17,8.545
2008-11-18,1.27694444
2008-11-20,4.55055555
2008-11-21,10.0175
2008-11-22,11.7633333
2008-12-01,5.91777777
2008-12-03,1.79833333
2008-12-04,3.4675
2008-12-06,5.85805555
2008-12-07,0.63611111
2008-12-11,4.79861111
2008-12-12,9.67083333
2008-12-13,2.34194444
2008-12-14,2.91666666
2008-12-20,5.77611111
2008-12-21,0.4
2008-12-23,1.6475
2008-12-24,1.55638888
2008-12-29,6.34027777
2009-01-03,6.56083333
2009-01-09,3.96916666
2009-01-10,2.9175
2009-01-11,9.22194444
2009-01-19,3.50388888
2009-01-20,1.45666666
2009-01-31,5.83111111
2009-02-14,1.65527777
2009-02-15,13.1119444
2009-02-18,8.31277777
2009-02-24,5.60472222
2009-03-12,6.72416666
2009-03-19,11.2213888
2009-03-20,0.69277777
2009-03-21,6.73083333
2009-03-23,1.00472222
2009-03-24,6.83694444
2009-03-29,6.60777777
2009-03-30,0.60638888
2009-04-06,9.26277777
2009-04-07,2.17111111
2009-04-08,3.01527777
2009-04-11,4.57138888
2009-04-12,4.88166666
2009-04-17,9.49055555
2009-04-18,8.68638888
2009-04-19,9.40166666
2009-04-23,5.82416666
2009-04-25,9.0225
2009-04-26,4.07527777
2009-05-18,4.92638888
2009-05-19,0.91083333
2009-05-26,6.34472222
2009-05-31,5.59027777
2009-06-06,4.84222222
2009-06-07,1.54805555
2009-06-12,2.34444444
2009-06-13,3.64388888
2009-06-14,7.78416666
2009-06-20,6.36555555
2009-06-27,8.08222222
2009-06-28,4.86722222
2009-07-03,4.26861111
2009-07-07,6.61972222
2009-07-19,11.7575
2009-07-23,6.2925
2009-07-26,5.57972222
2009-08-02,12.0783333
2009-08-08,5.53694444
2009-08-13,1.07
2009-08-14,4.97611111
2009-08-21,11.1961111
2009-08-22,0.38444444
2009-08-29,6.75
2009-09-04,6.07194444
2009-09-07,6.02888888
2009-09-15,5.15055555
2009-09-18,6.08638888
2009-09-26,6.78361111
2009-09-27,4.44944444
2009-10-05,10.6433333
2009-10-06,1.48083333
2009-10-07,5.11166666
2009-10-15,6.81555555
2009-10-17,0.26277777
2009-10-18,5.68777777
2009-10-26,5.36027777
2009-10-27,0.97638888
2009-11-02,3.70555555
2009-11-03,2.87722222
2009-11-05,3.89388888
2009-11-06,2.50583333
2009-11-10,5.08
2009-11-11,6.95027777
2009-11-12,4.06416666
2009-11-15,9.88805555
2009-11-17,5.89611111
2009-11-18,0.41611111
2009-11-21,3.06972222
2009-11-22,2.72527777
2009-11-23,5.26527777
2009-11-25,9.23694444
2009-11-29,9.08277777
2009-12-04,3.05333333
2009-12-05,3.55861111
2009-12-06,7.78722222
2009-12-12,5.92361111
2009-12-23,9.84472222
2009-12-27,3.53222222
2009-12-28,2.91777777
2010-01-07,6.26861111
2010-01-08,6.55833333
2010-01-09,2.51055555
2010-01-10,3.61944444
2010-01-14,9.94777777
2010-01-15,7.69944444
2010-01-16,6.11472222
2010-01-27,9.58527777
2010-01-29,4.33305555
2010-01-30,1.87138888
2010-02-01,5.89527777
2010-02-10,0.13333333
2010-02-13,12.2233333
2010-02-14,12.9094444
2010-03-02,6.41444444
2010-03-05,20.9533333
2010-03-06,1.41638888
2010-03-07,4.91583333
2010-03-12,3.94027777
2010-03-13,2.69833333
2010-03-15,6.53111111
2010-03-19,6.33833333
2010-03-21,2.76027777
2010-03-22,6.3825
2010-03-27,12.1377777
2010-03-28,8.5425
2010-03-29,0.87944444
2010-03-30,5.05722222
2010-04-01,5.76277777
2010-04-02,6.54138888
2010-04-03,10.5819444
2010-04-04,0.5425
2010-04-05,8.285
2010-04-06,0.08611111
2010-04-11,9.74694444
2010-04-12,9.00666666
2010-04-13,1.25111111
2010-04-20,6.12277777
2010-04-26,5.13027777
2010-04-28,4.80083333
2010-05-05,2.95166666
2010-05-06,3.26888888
2010-05-16,4.7725
2010-05-17,2.47194444
2010-05-18,7.99361111
2010-05-20,6.21444444
2010-05-28,5.8525
2010-06-04,6.21111111
2010-06-05,4.89722222
2010-06-12,5.33888888
2010-06-13,0.9275
2010-06-19,6.43305555
2010-07-07,6.08416666
2010-07-09,6.38694444
2010-07-16,6.50277777
2010-07-21,6.345
2010-07-31,6.85833333
2010-08-06,6.00888888
2010-08-09,1.03055555
2010-08-10,5.50472222
2010-08-20,6.07166666
2010-08-21,7.27833333
2010-08-27,6.48888888
2010-09-04,6.43916666
2010-09-08,5.68083333
2010-09-13,6.13416666
2010-09-19,6.23777777
2010-09-20,6.39861111
2010-09-26,5.96194444
