Date,Time
2008-12-24,1.80611111
2008-12-29,3.21555555
2009-09-04,2.28388888
2009-09-09,0.05555555
2009-09-12,0.05527777
2009-09-14,0.05555555
2009-09-16,0.05527777
2009-09-19,0.05555555
2009-09-20,0.05555555
2009-10-25,2.94194444
2009-11-14,3.5375
2009-11-18,4.955
2009-11-23,3.77277777
2009-12-03,2.36472222
2009-12-04,5.25416666
2009-12-15,5.05888888
2009-12-31,6.76861111
2010-01-04,4.91805555
2010-01-05,4.42027777
2010-01-09,3.58583333
2010-01-28,2.31861111
2010-02-10,6.90055555
2010-03-03,1.19138888
2010-03-29,7.85527777
2010-06-06,9.46944444
2010-06-16,5.585
2010-07-05,1.87416666
2010-07-06,2.48611111
2010-10-18,4.12277777
2010-10-19,3.84833333
2010-11-06,3.935
2011-01-14,2.48666666
2011-02-01,3.19388888
2011-03-26,7.75416666
2011-04-01,7.42638888
2011-05-08,5.30111111
2012-04-04,2.35361111
2012-04-29,7.91972222
2012-05-22,1.25166666
2012-06-03,5.22555555
2012-06-04,2.22027777
2012-06-07,5.19
2012-09-09,0.59305555
2012-09-14,20.0180555
2012-10-23,2.02805555
2013-07-04,9.09916666
2013-07-05,13.3716666
2013-07-08,4.84138888
2013-09-01,0.95638888
2013-09-17,1.60444444
2013-09-19,1.55638888
2013-10-23,1.18388888
2013-12-29,4.30111111
