Date,Time
2007-10-09,0.28611111
2007-10-10,1.75611111
2007-10-14,0.83777777
2007-11-03,9.63416666
2007-11-05,1.82888888
2007-11-09,4.87111111
2007-11-17,7.68277777
2007-11-18,6.17555555
2007-11-19,1.89472222
2007-11-20,1.50666666
2007-11-24,4.52111111
2007-11-25,2.76861111
2007-11-28,0.90277777
2007-11-29,2.08472222
2008-02-11,0.18972222
2008-02-22,0.42888888
2008-02-23,0.13527777
2008-02-24,2.5925
2008-02-25,0.32472222
2008-03-02,5.35138888
2008-03-03,6.44444444
2008-03-04,2.00027777
2008-03-05,2.31083333
2008-03-06,3.01222222
2008-03-07,4.30388888
2008-03-10,5.17944444
2008-03-11,2.48333333
2008-03-12,5.04083333
2008-03-17,4.97416666
2008-03-20,1.69444444
2008-03-21,4.71611111
2008-03-26,2.57138888
2008-03-27,0.47361111
2008-03-28,0.13777777
2008-03-29,9.0375
2008-11-02,0.6625
2008-11-04,3.72277777
2008-11-08,0.71194444
2008-11-09,2.44555555
2008-11-10,3.99805555
2008-11-11,1.03277777
2008-11-17,3.29777777
2008-11-20,1.67972222
2008-11-21,1.42222222
2008-11-23,3.82555555
2008-11-24,1.08777777
2008-11-29,3.08111111
2008-11-30,0.72944444
2008-12-02,6.85083333
2008-12-03,7.74472222
2008-12-04,3.7575
2008-12-05,1.92888888
2008-12-06,12.8052777
2008-12-09,3.99888888
2008-12-12,2.205
2008-12-13,6.41916666
2008-12-28,1.7825
2008-12-29,1.98277777
2009-01-01,3.91333333
2009-01-07,0.17222222
2009-01-16,0.38055555
2009-01-17,4.18777777
2009-01-18,1.35277777
2009-01-19,0.40583333
2009-01-24,2.03416666
2009-01-25,10.2816666
2009-01-29,8.66611111
2009-01-30,4.24527777
2009-01-31,4.63805555
2009-02-01,6.02722222
2009-02-02,3.45
2009-02-04,1.88083333
2009-02-05,7.46166666
2009-02-06,1.67
2009-02-07,8.67277777
2009-02-09,3.82666666
2009-02-10,3.02472222
2009-02-15,2.43972222
2009-02-16,0.05166666
2009-02-21,4.655
2009-02-24,4.07944444
2009-02-25,4.63694444
2009-03-02,2.25666666
2009-03-03,4.46305555
2009-03-04,4.39722222
2009-03-05,3.13666666
2009-03-08,1.58194444
2009-03-09,3.66555555
2009-03-10,6.83361111
2009-03-12,3.14638888
2009-03-28,0.38833333
2009-03-30,0.22305555
2009-03-31,3.0775
2009-05-03,0.0125
2009-05-05,0.08388888
2009-05-08,0.57555555
2009-05-10,1.63638888
2009-05-19,3.585
2009-05-20,1.25972222
2009-05-29,2.67694444
2010-03-19,0.34055555
2010-03-24,0.84583333
2010-03-25,1.57555555
2010-04-22,2.6725
2010-10-02,4.65138888
2010-11-12,0.57583333
2010-11-13,4.53944444
2010-11-21,7.52527777
2010-11-23,2.06805555
2010-11-28,0.62916666
2011-01-10,1.63916666
2011-01-14,1.81166666
2011-01-15,1.20083333
2011-01-17,4.66444444
2011-01-20,6.41555555
2011-01-22,2.96305555
2011-01-27,0.01833333
2011-01-28,6.12527777
2011-01-29,6.07416666
2011-01-30,7.24472222
2011-01-31,0.28777777
2011-02-06,6.83888888
2011-02-10,2.82694444
2011-02-11,2.10027777
2011-02-12,0.37305555
2011-02-13,4.08555555
2011-02-16,3.32333333
2011-02-17,5.33027777
2011-02-20,4.43333333
2011-02-26,3.95833333
2011-02-27,3.81111111
2011-03-08,1.30416666
2011-03-17,3.26722222
2011-03-26,2.99472222
2011-03-28,1.05138888
2011-03-29,4.57083333
2011-03-30,3.88833333
2011-04-07,2.405
2011-04-08,2.40277777
2011-04-11,1.89638888
2011-04-14,3.07
2011-04-15,5.46222222
2011-04-18,0.04361111
2011-10-07,6.06138888
2011-10-09,2.06694444
2011-10-22,4.335
2011-10-23,5.17916666
2011-11-03,4.87027777
2011-11-08,2.14916666
2011-11-09,1.65194444
2011-12-19,0.38388888
2012-02-14,4.18777777
2012-02-15,1.03555555
2012-02-16,3.75805555
2012-02-18,1.23222222
2012-05-31,4.63305555
2012-06-03,4.55027777
2012-06-04,3.24166666
2012-06-05,3.13444444
2012-06-09,1.70888888
2012-06-10,2.15333333
2012-09-11,4.79222222
2012-09-16,3.91416666
2012-09-19,19.9533333
2012-09-20,5.65194444
2012-09-23,2.61777777
2012-09-24,7.26444444
2012-09-25,5.04555555
2012-09-26,0.0175
2012-09-30,4.90861111
2012-10-05,1.96222222
2012-10-06,2.87777777
2012-10-08,4.22888888
2012-10-09,4.43388888
2012-10-10,3.16527777
2012-10-12,4.88833333
2012-10-17,4.37888888
2012-10-18,2.50583333
2012-11-09,2.335
2012-11-10,2.26111111
2012-11-11,1.32138888
2012-11-14,2.14833333
2012-11-17,2.88944444
2012-11-19,3.26305555
2012-11-25,2.01833333
2012-11-26,8.74638888
2012-11-29,5.24333333
2012-11-30,4.81888888
2012-12-01,8.81166666
2012-12-02,2.46916666
2012-12-04,6.9
2012-12-11,1.72583333
2012-12-12,2.79138888
2013-02-06,1.74055555
2013-02-07,1.91305555
2013-02-15,1.35555555
2013-02-16,2.53722222
2013-02-17,2.24833333
2013-03-05,2.11666666
2013-03-10,4.015
2013-03-11,3.66527777
2013-03-21,2.1525
2013-12-01,1.04388888
2013-12-02,8.77777777
2013-12-03,1.79861111
2013-12-04,3.6225
2013-12-12,7.60361111
2013-12-27,1.89583333
2013-12-28,4.01083333
2014-01-01,2.77555555
2014-01-02,6.87222222
2014-01-04,3.39916666
2014-01-05,1.7075
