User, Hours
Jim Braatz, 150
Martin Cordiner, 59
Jeremy Darling, 57
Larry Morgan, 56
Jeff Mangum, 53
Yancy Shirley, 45
Jim Condon, 37
Rachel Friesen, 26
Susanna Finn, 22
Wayne Schlingman, 22
Glen Langston, 20
Erik Rosolowsky, 19
Yuri Kovalev, 19
Jaime Pineda, 18
Cheng-Yu Kuo, 17
S. Chitsazzadeh, 12
Lincoln Greenhill, 11
Anthony Remijan, 10
Ingyin Zaw, 10
Daniel Perera, 9
Paola Castangia, 9
Michael Bietenholz, 9
John Tobin, 8
Miranda Dunham, 8
Violette Impellizzeri, 7
Remco Van den Bosch, 6
Ian Hoffman, 5
Al Wootten, 5
Bill Dirienzo, 4
Feng Gao, 4
Hauyu Liu, 3
James Urguhart, 3
Steve White, 3
Jose-Francisco Gomez, 3
